STATE,COUNTY,STNAME,CTYNAME,diversity_index,total_population,NH_White,NH_Black,NH_AmIndian,NH_Asian,NH_PacIslander,NH_TwoOrMore,Hispanic,GEOID
15,1,Hawaii,Hawaii County,0.7765992905192712,2038434.0,628234.0,15394.0,6416.0,405368.0,244736.0,504364.0,233922.0,15001
15,9,Hawaii,Maui County,0.7675844695122327,1645726.0,497338.0,12054.0,4826.0,461224.0,160416.0,337154.0,172714.0,15009
15,7,Hawaii,Kauai County,0.7635077479246104,735898.0,216604.0,4810.0,1814.0,215232.0,62404.0,158064.0,76970.0,15007
15,5,Hawaii,Kalawao County,0.7608199053008147,806.0,190.0,0.0,0.0,70.0,274.0,102.0,170.0,15005
2,16,Alaska,Aleutians West Census Area,0.7593866222664134,51672.0,12244.0,4218.0,4138.0,19980.0,1746.0,2256.0,7090.0,02016
36,81,New York,Queens County,0.7562207816513234,23308102.0,5684608.0,4164144.0,85994.0,6342378.0,28756.0,498366.0,6503856.0,36081
48,157,Texas,Fort Bend County,0.7552232339440509,8635816.0,2617834.0,1835696.0,17592.0,1880368.0,4648.0,165832.0,2113846.0,48157
6,95,California,Solano County,0.7471857752925364,4509940.0,1577108.0,596812.0,18510.0,718718.0,39286.0,248620.0,1310886.0,06095
6,1,California,Alameda County,0.7438500236915765,16514618.0,4771674.0,1625764.0,40434.0,5391670.0,129114.0,699744.0,3856218.0,06001
13,135,Georgia,Gwinnett County,0.7414311404722632,9681404.0,3127134.0,2772018.0,15074.0,1271216.0,4122.0,233094.0,2258746.0,13135
15,3,Hawaii,Honolulu County,0.7396953528630044,10034610.0,1775946.0,254392.0,17712.0,4183902.0,933486.0,1934306.0,934866.0,15003
2,13,Alaska,Aleutians East Borough,0.7264195520746599,34312.0,2952.0,3282.0,4266.0,15312.0,316.0,1232.0,6952.0,02013
36,47,New York,Kings County,0.7261865974747355,26485688.0,9792870.0,7708524.0,50610.0,3382752.0,8086.0,541068.0,5001778.0,36047
51,153,Virginia,Prince William County,0.7239811917357746,4854076.0,1920048.0,991642.0,8700.0,484598.0,4770.0,195058.0,1249260.0,51153
37,155,North Carolina,Robeson County,0.7232602667367518,1165592.0,276768.0,266970.0,460550.0,6718.0,1006.0,31180.0,122400.0,37155
24,31,Maryland,Montgomery County,0.7231231730111451,10581406.0,4395234.0,2017836.0,17552.0,1651550.0,4118.0,306722.0,2188394.0,24031
6,67,California,Sacramento County,0.7219900751074402,15858178.0,6702338.0,1535196.0,77150.0,2724818.0,185336.0,827136.0,3806204.0,06067
6,13,California,Contra Costa County,0.7184741160244614,11615968.0,4680268.0,991848.0,31164.0,2182572.0,56236.0,498776.0,3175104.0,06013
34,23,New Jersey,Middlesex County,0.7151767303082202,8623382.0,3407374.0,875622.0,16146.0,2196328.0,2962.0,134712.0,1990238.0,34023
37,93,North Carolina,Hoke County,0.7134837723154775,531252.0,198938.0,180334.0,40366.0,7614.0,1226.0,21418.0,81356.0,37093
2,282,Alaska,Yakutat City and Borough,0.7118555687600372,6854.0,2524.0,142.0,2444.0,316.0,72.0,950.0,406.0,02282
32,3,Nevada,Clark County,0.7107307826396905,22989560.0,9253618.0,2852574.0,104900.0,2416306.0,176894.0,951156.0,7234112.0,32003
2,60,Alaska,Bristol Bay Borough,0.7075702282223973,8458.0,3488.0,60.0,2380.0,188.0,30.0,1590.0,722.0,02060
34,17,New Jersey,Hudson County,0.707041496057161,7116076.0,2088556.0,798616.0,12522.0,1206696.0,4238.0,113032.0,2892416.0,34017
6,81,California,San Mateo County,0.705225265389706,7442684.0,2734048.0,162264.0,10462.0,2302822.0,92292.0,288046.0,1852750.0,06081
34,13,New Jersey,Essex County,0.7047792510448464,8555632.0,2527702.0,3232990.0,17506.0,523434.0,3336.0,135062.0,2115602.0,34013
6,77,California,San Joaquin County,0.7034424890921713,7886918.0,2243408.0,560608.0,33150.0,1378274.0,51828.0,285786.0,3333864.0,06077
17,31,Illinois,Cook County,0.7029021112781901,51837440.0,21294312.0,11744170.0,61420.0,4123402.0,9146.0,848608.0,13756382.0,17031
12,11,Florida,Broward County,0.7009513027330553,19465548.0,6530424.0,5584466.0,37902.0,739814.0,12560.0,329692.0,6230690.0,12011
34,21,New Jersey,Mercer County,0.7008267905548757,3836832.0,1708646.0,724560.0,5940.0,464864.0,2042.0,71410.0,859370.0,34021
20,209,Kansas,Wyandotte County,0.7006558660790673,1672628.0,630656.0,342014.0,6850.0,86360.0,4796.0,42066.0,559886.0,20209
48,113,Texas,Dallas County,0.7002001328793268,26036358.0,7133092.0,5994208.0,71848.0,1803324.0,11556.0,391730.0,10630600.0,48113
12,95,Florida,Orange County,0.6950091467910202,14425050.0,5592710.0,2899730.0,30320.0,799296.0,17238.0,284146.0,4801610.0,12095
34,39,New Jersey,Union County,0.693739048351873,5729998.0,2153028.0,1182300.0,6740.0,330000.0,1778.0,79594.0,1976558.0,34039
6,85,California,Santa Clara County,0.6934072518127458,19017094.0,5478974.0,455728.0,38310.0,7582632.0,72504.0,617338.0,4771608.0,06085
25,25,Massachusetts,Suffolk County,0.6928146347030191,7819724.0,3550630.0,1554228.0,14178.0,742484.0,4652.0,170082.0,1783470.0,25025
6,75,California,San Francisco County,0.6924860648041051,8346330.0,3210166.0,426814.0,16866.0,3009688.0,32078.0,319152.0,1331566.0,06075
42,101,Pennsylvania,Philadelphia County,0.6919054268721083,15822956.0,5430654.0,6334624.0,33402.0,1263342.0,3488.0,349644.0,2407802.0,42101
48,245,Texas,Jefferson County,0.6905286297920923,2538956.0,957452.0,841284.0,7428.0,97468.0,1314.0,34224.0,599786.0,48245
48,201,Texas,Harris County,0.6891371090192904,47635786.0,13344816.0,9283378.0,89128.0,3498256.0,23168.0,699220.0,20697820.0,48201
48,27,Texas,Bell County,0.6889022055856908,3807922.0,1663792.0,860990.0,16836.0,112314.0,27018.0,143466.0,983506.0,48027
2,150,Alaska,Kodiak Island Borough,0.6865259160748169,128458.0,62284.0,1490.0,14448.0,29864.0,954.0,8928.0,10490.0,02150
6,59,California,Orange County,0.6848048085321718,31638938.0,12147932.0,541864.0,61270.0,7070372.0,87388.0,922776.0,10807336.0,06059
48,439,Texas,Tarrant County,0.6841183416763874,21389502.0,9339500.0,3818192.0,76472.0,1265396.0,41450.0,453160.0,6395332.0,48439
51,685,Virginia,Manassas Park city,0.6837287783309319,169044.0,46068.0,21990.0,516.0,17766.0,282.0,4338.0,78084.0,51685
36,61,New York,New York County,0.6835503139265586,16283062.0,7691490.0,2123060.0,24652.0,2120858.0,7204.0,365594.0,3950204.0,36061
24,27,Maryland,Howard County,0.6828893840092212,3343650.0,1598142.0,676770.0,6070.0,663156.0,1776.0,114290.0,283446.0,24027
51,59,Virginia,Fairfax County,0.6820444355986757,11444622.0,5548390.0,1152412.0,15556.0,2319752.0,4366.0,407886.0,1996260.0,51059
48,39,Texas,Brazoria County,0.6820308789093379,3823642.0,1662126.0,602010.0,13070.0,278946.0,1852.0,65016.0,1200622.0,48039
48,473,Texas,Waller County,0.6779967163046654,597720.0,234222.0,144646.0,1972.0,10730.0,398.0,8078.0,197674.0,48473
13,259,Georgia,Stewart County,0.6774513208892217,49620.0,12632.0,21830.0,230.0,1714.0,12.0,774.0,12428.0,13259
37,63,North Carolina,Durham County,0.6767039651323681,3300892.0,1406634.0,1117178.0,9026.0,185628.0,1782.0,74944.0,505700.0,37063
37,119,North Carolina,Mecklenburg County,0.6766308389671196,11334032.0,5048320.0,3517998.0,31838.0,729050.0,4658.0,245650.0,1756518.0,37119
6,101,California,Sutter County,0.6751870922161842,989568.0,428830.0,21114.0,8828.0,171264.0,2956.0,35566.0,321010.0,06101
6,113,California,Yolo County,0.6706685865146099,2176806.0,959390.0,56254.0,10752.0,320214.0,8904.0,96842.0,724450.0,06113
6,37,California,Los Angeles County,0.6704443225687844,98398722.0,25345814.0,7888626.0,187286.0,14981438.0,219130.0,2273550.0,47502878.0,06037
51,683,Virginia,Manassas city,0.6698882382325637,427196.0,149624.0,54198.0,814.0,26208.0,460.0,11214.0,184678.0,51683
37,51,North Carolina,Cumberland County,0.669712460829637,3365524.0,1382400.0,1275276.0,49310.0,87846.0,11906.0,142800.0,415986.0,37051
6,73,California,San Diego County,0.6689337756086262,32831054.0,14463238.0,1545902.0,137820.0,4066154.0,139222.0,1197396.0,11281322.0,06073
35,45,New Mexico,San Juan County,0.6641062082186995,1210564.0,451578.0,6548.0,480382.0,6954.0,640.0,26190.0,238272.0,35045
12,57,Florida,Hillsborough County,0.6628871231431568,14919356.0,6987202.0,2446232.0,33126.0,678772.0,11096.0,328750.0,4434178.0,12057
34,11,New Jersey,Cumberland County,0.6608466191015777,1527270.0,652356.0,276196.0,9206.0,19272.0,496.0,33396.0,536348.0,34011
55,79,Wisconsin,Milwaukee County,0.6595084257412333,9273160.0,4558054.0,2415646.0,49612.0,466470.0,1870.0,234540.0,1546968.0,55079
35,6,New Mexico,Cibola County,0.6591439111016223,270224.0,53710.0,3444.0,118788.0,1534.0,210.0,3852.0,88686.0,35006
37,165,North Carolina,Scotland County,0.6590264081907173,342956.0,141166.0,134956.0,41262.0,3216.0,182.0,9478.0,12696.0,37165
48,85,Texas,Collin County,0.6576792217699978,11222436.0,5852998.0,1243188.0,41814.0,2001668.0,8398.0,278954.0,1795416.0,48085
51,510,Virginia,Alexandria city,0.6573336693928342,1567966.0,796536.0,338490.0,2878.0,96716.0,1128.0,45988.0,286230.0,51510
34,35,New Jersey,Somerset County,0.6552534893778703,3464988.0,1789872.0,331626.0,4466.0,685144.0,1216.0,58910.0,593754.0,34035
13,179,Georgia,Liberty County,0.6550731441194902,669034.0,252082.0,288250.0,3130.0,13306.0,3134.0,26224.0,82908.0,13179
13,67,Georgia,Cobb County,0.6544323631807579,7695470.0,3793134.0,2137444.0,12816.0,434458.0,3210.0,180072.0,1134336.0,13067
40,21,Oklahoma,Cherokee County,0.6543665547435153,476188.0,219802.0,6614.0,163312.0,5028.0,320.0,44536.0,36576.0,40021
40,1,Oklahoma,Adair County,0.6543354184551115,195076.0,77032.0,1456.0,81566.0,2052.0,110.0,19668.0,13192.0,40001
22,51,Louisiana,Jefferson Parish,0.6541318457442568,4324898.0,2118246.0,1148668.0,16300.0,186560.0,720.0,64644.0,789760.0,22051
11,1,District of Columbia,District of Columbia,0.6523359057162668,6758690.0,2533152.0,2955418.0,13744.0,302428.0,3402.0,169928.0,780618.0,11001
51,700,Virginia,Newport News city,0.6513611202693081,1848162.0,750508.0,762024.0,6294.0,59632.0,3116.0,70988.0,195600.0,51700
2,20,Alaska,Anchorage Municipality,0.6503343091677523,2888728.0,1618758.0,150526.0,245162.0,287428.0,91020.0,226616.0,269218.0,02020
13,121,Georgia,Fulton County,0.6502102188190959,10702646.0,4090764.0,4672188.0,14644.0,841196.0,2654.0,215622.0,865578.0,13121
51,710,Virginia,Norfolk city,0.648710083487062,2348284.0,987068.0,945416.0,8844.0,88604.0,3830.0,80952.0,233570.0,51710
51,107,Virginia,Loudoun County,0.6481639931565165,4283130.0,2256692.0,325020.0,6818.0,928738.0,2552.0,155516.0,607794.0,51107
2,105,Alaska,Hoonah-Angoon Census Area,0.6477987951014841,23178.0,10886.0,516.0,7980.0,178.0,28.0,2170.0,1420.0,02105
35,43,New Mexico,Sandoval County,0.6475009964225473,1518270.0,645384.0,33726.0,181832.0,24874.0,1594.0,30626.0,600234.0,35043
40,109,Oklahoma,Oklahoma County,0.6468718915031215,8013220.0,4292220.0,1210662.0,245536.0,284850.0,7978.0,394266.0,1577708.0,40109
2,185,Alaska,North Slope Borough,0.6468204144264568,109008.0,34302.0,1682.0,53996.0,5902.0,1876.0,5420.0,5830.0,02185
51,600,Virginia,Fairfax city,0.6453707527800606,245146.0,129332.0,14644.0,686.0,47848.0,214.0,7412.0,45010.0,51600
40,101,Oklahoma,Muskogee County,0.6453055071430029,663690.0,361430.0,67648.0,124714.0,5388.0,438.0,55986.0,48086.0,40101
48,375,Texas,Potter County,0.6451700102439382,1165632.0,509284.0,120108.0,5918.0,57818.0,634.0,19600.0,452270.0,48375
37,163,North Carolina,Sampson County,0.6450449311105977,591554.0,294360.0,146166.0,10568.0,2790.0,566.0,10756.0,126348.0,37163
45,53,South Carolina,Jasper County,0.6434383448350403,307842.0,139432.0,107240.0,1202.0,2446.0,170.0,4218.0,53134.0,45053
40,31,Oklahoma,Comanche County,0.6433933152311557,1216752.0,670378.0,192292.0,66824.0,30322.0,7150.0,75216.0,174570.0,40031
