STATE,COUNTY,STNAME,CTYNAME,diversity_index,total_population,pct_nhBlack,pct_Black,total_Black,NH_White,NH_Black,NH_AmIndian,NH_Asian,NH_PacIslander,NH_TwoOrMore,Hispanic,GEOID
15,1,Hawaii,Hawaii County,0.776755026176003,207615.0,0.8202682850468416,0.9599499072803025,1993.0,64431.0,1703.0,677.0,40592.0,24390.0,51158.0,24664.0,15001
15,9,Hawaii,Maui County,0.7682543907042341,164183.0,0.7796178654306475,0.8788973279815815,1443.0,49401.0,1280.0,524.0,45911.0,15716.0,33778.0,17573.0,15009
15,7,Hawaii,Kauai County,0.7646589391403974,73851.0,0.6892256029031428,0.7650539600005416,565.0,21531.0,509.0,179.0,21408.0,6219.0,16160.0,7845.0,15007
2,16,Alaska,Aleutians West Census Area,0.7630107114957034,5160.0,8.585271317829458,9.147286821705427,472.0,1270.0,443.0,366.0,1934.0,192.0,219.0,736.0,02016
15,5,Hawaii,Kalawao County,0.7617741197988112,81.0,0.0,0.0,0.0,19.0,0.0,0.0,7.0,27.0,10.0,18.0,15005
48,157,Texas,Fort Bend County,0.7577242482450628,916778.0,21.72717931713021,22.705060549009684,208155.0,264675.0,199190.0,1825.0,205114.0,548.0,18534.0,226892.0,48157
36,81,New York,Queens County,0.7558661702767825,2252196.0,17.70685144632172,20.748727020206058,467302.0,539977.0,398793.0,8407.0,620801.0,2889.0,48986.0,632343.0,36081
6,95,California,Solano County,0.7498373453041596,449218.0,13.000592140119052,14.244976826396094,63991.0,150142.0,58401.0,1795.0,74626.0,3969.0,24938.0,135347.0,06095
13,135,Georgia,Gwinnett County,0.7455242800827726,983526.0,29.335167550222362,31.346502278536615,308301.0,298288.0,288519.0,1488.0,136903.0,379.0,24266.0,233683.0,13135
6,1,California,Alameda County,0.7422825507741732,1622188.0,9.642902055741997,10.545571783295154,171069.0,452295.0,156426.0,3956.0,548402.0,12599.0,69914.0,378596.0,06001
15,3,Hawaii,Honolulu County,0.7401985050124544,989408.0,2.493612341925677,2.7690295611112905,27397.0,173466.0,24672.0,1799.0,411968.0,91351.0,191141.0,95011.0,15003
2,13,Alaska,Aleutians East Borough,0.7351850867064473,3461.0,9.04362900895695,10.97948569777521,380.0,331.0,313.0,430.0,1498.0,33.0,138.0,718.0,02013
51,153,Virginia,Prince William County,0.7302882067137735,489640.0,20.2426272363369,21.87198758271383,107094.0,187186.0,99116.0,808.0,52657.0,438.0,20583.0,128852.0,51153
6,67,California,Sacramento County,0.728268489598831,1584288.0,9.615991536892283,10.78553899291038,170874.0,648012.0,152345.0,7454.0,284146.0,19013.0,85434.0,387884.0,06067
24,31,Maryland,Montgomery County,0.7273071178109136,1058474.0,19.317621405910774,20.864281975749996,220843.0,430040.0,204472.0,1670.0,167044.0,380.0,31550.0,223318.0,24031
37,155,North Carolina,Robeson County,0.7268138607913802,117365.0,22.853491245260514,23.644186938184298,27750.0,27110.0,26822.0,46103.0,741.0,108.0,3404.0,13077.0,37155
36,47,New York,Kings County,0.7267717399126321,2561225.0,28.612909838065768,32.75987076496598,839054.0,953501.0,732841.0,4868.0,331289.0,722.0,54967.0,483037.0,36047
6,13,California,Contra Costa County,0.7242493709114701,1155025.0,8.456786649639618,9.346031471180277,107949.0,446805.0,97678.0,3051.0,230023.0,5742.0,50483.0,321243.0,06013
34,23,New Jersey,Middlesex County,0.7211540087489088,863623.0,10.470193591416626,13.119150370010987,113300.0,326764.0,90423.0,1641.0,223418.0,309.0,13914.0,207154.0,34023
2,282,Alaska,Yakutat City and Borough,0.7200176282764335,687.0,2.1834061135371177,2.1834061135371177,15.0,250.0,15.0,239.0,36.0,7.0,94.0,46.0,02282
32,3,Nevada,Clark County,0.7173969427806076,2336573.0,12.69320496299495,14.02926422585556,327804.0,902470.0,296586.0,10616.0,257328.0,18480.0,100258.0,750835.0,32003
37,93,North Carolina,Hoke County,0.7172540634305204,54446.0,34.312897182529476,36.408551592403484,19823.0,19825.0,18682.0,4012.0,898.0,127.0,2307.0,8595.0,37093
2,60,Alaska,Bristol Bay Borough,0.7120825003930729,844.0,0.9478672985781991,1.066350710900474,9.0,346.0,8.0,226.0,18.0,7.0,171.0,68.0,02060
34,17,New Jersey,Hudson County,0.7083250904045812,705472.0,11.391522271613898,15.676596661525902,110594.0,202985.0,80364.0,1260.0,121055.0,449.0,11769.0,287590.0,34017
34,21,New Jersey,Mercer County,0.708229441902194,381671.0,18.82799583934855,21.706915117994292,82849.0,164407.0,71861.0,593.0,48250.0,199.0,7326.0,89035.0,34021
34,13,New Jersey,Essex County,0.7081447866742194,851117.0,37.24282325461717,40.997066208288636,348933.0,247992.0,316980.0,1767.0,55161.0,319.0,13949.0,214949.0,34013
6,81,California,San Mateo County,0.7062263793224451,726353.0,2.1687801936523976,2.708738037841105,19675.0,258218.0,15753.0,1039.0,233730.0,8840.0,28344.0,180429.0,06081
17,31,Illinois,Cook County,0.7050307222048657,5087072.0,22.392783117675553,23.31620232621044,1186112.0,2067553.0,1139137.0,5986.0,414182.0,853.0,87635.0,1371726.0,17031
6,77,California,San Joaquin County,0.7043845429954982,800965.0,7.011792025868796,8.237813137902405,65982.0,213702.0,56162.0,3310.0,151097.0,5450.0,29024.0,342220.0,06077
12,11,Florida,Broward County,0.7017794091106297,1962531.0,28.571472246807822,30.516409677095545,598894.0,637634.0,560724.0,3841.0,76256.0,1279.0,34251.0,648546.0,12011
20,209,Kansas,Wyandotte County,0.7010669471091775,165281.0,20.03618080723132,21.218409859572485,35070.0,61307.0,33116.0,646.0,8758.0,501.0,4247.0,56706.0,20209
48,113,Texas,Dallas County,0.7000114847786656,2606358.0,23.02273900975998,24.060048542832565,627091.0,692400.0,600055.0,7089.0,186730.0,1220.0,41011.0,1077853.0,48113
12,95,Florida,Orange County,0.6965325925600513,1471416.0,19.92183040010439,22.676387914770537,333664.0,562161.0,293133.0,3097.0,84330.0,1867.0,29773.0,497055.0,12095
42,101,Pennsylvania,Philadelphia County,0.6962689114207244,1550542.0,39.493222369984174,42.95072303749269,665969.0,527304.0,612359.0,3212.0,126811.0,347.0,35954.0,244555.0,42101
34,39,New Jersey,Union County,0.6956527028513589,572726.0,20.54245834832014,23.957878636555698,137213.0,209606.0,117652.0,695.0,34466.0,179.0,8140.0,201988.0,34039
6,75,California,San Francisco County,0.6954095426964908,808988.0,5.098468704109331,5.6756095269645535,45915.0,303089.0,41246.0,1662.0,295255.0,3036.0,32210.0,132490.0,06075
25,25,Massachusetts,Suffolk County,0.6950144366773046,768425.0,19.4162084783811,23.896151218401275,183624.0,345902.0,149199.0,1375.0,74438.0,453.0,17229.0,179829.0,25025
48,245,Texas,Jefferson County,0.6937934043014875,251496.0,33.25500206762732,34.449454464484525,86639.0,91919.0,83635.0,772.0,9666.0,182.0,3539.0,61783.0,48245
2,150,Alaska,Kodiak Island Borough,0.6936327563047007,12565.0,1.2495025865499403,1.448467966573816,182.0,5955.0,157.0,1385.0,2995.0,89.0,897.0,1087.0,02150
48,27,Texas,Bell County,0.6922241748568413,393193.0,22.490736101609134,24.88599746180629,97850.0,168551.0,88432.0,1720.0,11889.0,2784.0,15061.0,104756.0,48027
48,39,Texas,Brazoria County,0.6919962151664131,398938.0,16.84221608370223,17.76692117572154,70879.0,165460.0,67190.0,1333.0,30728.0,200.0,7013.0,127014.0,48039
24,27,Maryland,Howard County,0.6914510657790562,336001.0,20.762438207029145,21.668387891702704,72806.0,155846.0,69762.0,598.0,68257.0,172.0,11615.0,29751.0,24027
48,439,Texas,Tarrant County,0.691097967569793,2182947.0,18.380611164632032,19.33830734323829,422145.0,920289.0,401239.0,7771.0,134804.0,4428.0,48480.0,665936.0,48439
6,85,California,Santa Clara County,0.6904474081061414,1877592.0,2.4360990034043604,2.921934051700263,54862.0,517632.0,45740.0,3773.0,773113.0,7025.0,61604.0,468705.0,06085
48,201,Texas,Harris County,0.6882251385170096,4835125.0,19.748382927018433,21.075877045577933,1019045.0,1305184.0,954859.0,8910.0,358948.0,2385.0,74324.0,2130515.0,48201
6,59,California,Orange County,0.6882102777795044,3135755.0,1.748988680556995,2.266663052438727,71077.0,1172840.0,54844.0,5970.0,725781.0,8728.0,94537.0,1073055.0,06059
51,59,Virginia,Fairfax County,0.6871575752101451,1141878.0,10.251970876048054,11.092253288004498,126660.0,544807.0,117065.0,1479.0,234180.0,373.0,42026.0,201948.0,51059
36,61,New York,New York County,0.686573928591643,1597451.0,12.971665484575116,18.380344686628884,293617.0,747343.0,207216.0,2483.0,212279.0,743.0,37686.0,389701.0,36061
48,473,Texas,Waller County,0.6818363336499327,63553.0,23.685742608531463,24.773024090129496,15744.0,24279.0,15053.0,202.0,1443.0,56.0,933.0,21587.0,48473
6,101,California,Sutter County,0.6807517879498074,97948.0,2.0929472781475886,2.744313309102789,2688.0,40802.0,2050.0,842.0,17455.0,305.0,3714.0,32780.0,06101
37,119,North Carolina,Mecklenburg County,0.6807188343854759,1163701.0,30.99473146452568,32.817278665224144,381895.0,511216.0,360686.0,3302.0,76182.0,477.0,26289.0,185549.0,37119
37,63,North Carolina,Durham County,0.6788591835401803,336892.0,32.98683257542476,34.46950357978225,116125.0,144695.0,111130.0,919.0,20055.0,193.0,7988.0,51912.0,37063
51,685,Virginia,Manassas Park city,0.6784273063741105,16361.0,12.603141617260558,14.57123647698796,2384.0,4187.0,2062.0,50.0,1781.0,25.0,451.0,7805.0,51685
13,259,Georgia,Stewart County,0.6781077012851069,4674.0,44.801026957637994,51.04835258878905,2386.0,1240.0,2094.0,22.0,186.0,2.0,98.0,1032.0,13259
6,113,California,Yolo County,0.6774411117413377,220544.0,2.7223592571096926,3.3707559489262913,7434.0,94639.0,6004.0,1027.0,34188.0,902.0,10143.0,73641.0,06113
37,51,North Carolina,Cumberland County,0.6754261915106596,337890.0,38.04462990914203,40.19444197815857,135813.0,135059.0,128549.0,4984.0,9005.0,1161.0,14816.0,44316.0,37051
48,85,Texas,Collin County,0.6730964464730089,1195359.0,11.468102887919027,11.98192342216857,143227.0,596604.0,137085.0,4298.0,233228.0,930.0,30825.0,192389.0,48085
6,73,California,San Diego County,0.6723671839135482,3269973.0,4.686063157096404,5.545366888350454,181332.0,1410817.0,153233.0,13536.0,415694.0,13652.0,122308.0,1140733.0,06073
51,683,Virginia,Manassas city,0.6711735775193761,42696.0,12.581974892261572,14.657110736368747,6258.0,14227.0,5372.0,82.0,2836.0,44.0,1196.0,18939.0,51683
6,37,California,Los Angeles County,0.6694110987518614,9663345.0,7.957741341119457,9.025332325400779,872149.0,2442113.0,768984.0,18395.0,1486649.0,21531.0,229771.0,4695902.0,06037
34,35,New Jersey,Somerset County,0.6681842760909364,348842.0,9.786092270999479,11.174973197034761,38983.0,173450.0,34138.0,456.0,72113.0,136.0,6180.0,62369.0,34035
12,57,Florida,Hillsborough County,0.6677715681268788,1535564.0,16.43096608151793,18.578971635177695,285292.0,703803.0,252308.0,3443.0,73030.0,1168.0,35119.0,466693.0,12057
35,45,New Mexico,San Juan County,0.6660227008245391,120675.0,0.5535529314273876,0.7855811062771908,948.0,44032.0,668.0,48362.0,841.0,69.0,2671.0,24032.0,35045
37,165,North Carolina,Scotland County,0.6660069776750251,34376.0,38.99232022341168,39.50430532929951,13580.0,13921.0,13404.0,4236.0,328.0,20.0,982.0,1485.0,37165
55,79,Wisconsin,Milwaukee County,0.6654698655714457,916205.0,25.860151385334067,26.983917354740477,247228.0,443664.0,236932.0,4942.0,48636.0,168.0,24172.0,157691.0,55079
34,11,New Jersey,Cumberland County,0.6629951760559565,152326.0,17.929309507241047,22.322518808345258,34003.0,63483.0,27311.0,894.0,2096.0,52.0,3478.0,55012.0,34011
40,1,Oklahoma,Adair County,0.6612612064755485,19627.0,0.7489682580119223,0.9374840780557395,184.0,7785.0,147.0,7981.0,249.0,11.0,1989.0,1465.0,40001
51,510,Virginia,Alexandria city,0.6611730239060368,155230.0,21.81665915093732,22.94144173162404,35612.0,78159.0,33866.0,281.0,9714.0,108.0,5009.0,28093.0,51510
13,179,Georgia,Liberty County,0.6609224266742207,69210.0,42.73948851322063,44.86056928189568,31048.0,25619.0,29580.0,331.0,1448.0,368.0,2757.0,9107.0,13179
51,600,Virginia,Fairfax city,0.6608038082445938,25144.0,6.39118676423799,6.983773464842508,1756.0,12745.0,1607.0,75.0,5030.0,27.0,817.0,4843.0,51600
13,67,Georgia,Cobb County,0.6605752807006438,776743.0,28.15860587092513,29.51388039544611,229247.0,375188.0,218720.0,1229.0,44738.0,323.0,19002.0,117543.0,13067
35,6,New Mexico,Cibola County,0.6601740734812075,26780.0,1.3928304705003736,1.8558625840179237,497.0,5169.0,373.0,11676.0,182.0,21.0,396.0,8963.0,35006
48,257,Texas,Kaufman County,0.6598412178431217,185690.0,20.752329150735097,21.610749097958966,40129.0,86611.0,38535.0,737.0,4061.0,135.0,3524.0,52087.0,48257
40,21,Oklahoma,Cherokee County,0.6592838674150807,48185.0,1.4963162810003114,1.6042336826813324,773.0,22042.0,721.0,16377.0,518.0,37.0,4551.0,3939.0,40021
22,51,Louisiana,Jefferson Parish,0.6591611419859787,421777.0,26.49954833952539,28.190489286992886,118901.0,203429.0,111769.0,1593.0,18528.0,59.0,6594.0,79805.0,22051
