GEOID,county_name,state_name,year,avg_weekly_wage,quarterly_establishments
38083,"Sheridan County, North Dakota",,2025,690,51
46053,"Gregory County, South Dakota",,2025,758,228
20105,"Lincoln County, Kansas",,2025,832,110
54027,"Hampshire County, West Virginia",,2025,845,550
40085,"Love County, Oklahoma",,2025,897,255
19007,"Appanoose County, Iowa",,2025,914,398
13169,"Jones County, Georgia",,2025,918,416
01035,"Conecuh County, Alabama",,2025,915,294
48281,"Lampasas County, Texas",,2025,930,489
37131,"Northampton County, North Carolina",,2025,981,355
51029,"Buckingham County, Virginia",,2025,978,481
22015,"Bossier Parish, Louisiana",,2025,1018,3736
12069,"Lake County, Florida",,2025,1034,10980
39175,"Wyandot County, Ohio",,2025,1063,595
37035,"Catawba County, North Carolina",,2025,1157,5162
12061,"Indian River County, Florida",,2025,1306,5907
40035,"Craig County, Oklahoma",,2025,863,426
20065,"Graham County, Kansas",,2025,923,113
46031,"Corson County, South Dakota",,2025,938,66
01051,"Elmore County, Alabama",,2025,955,1851
35039,"Rio Arriba County, New Mexico",,2025,942,850
18179,"Wells County, Indiana",,2025,979,717
21005,"Anderson County, Kentucky",,2025,946,574
38095,"Towner County, North Dakota",,2025,980,95
31157,"Scotts Bluff County, Nebraska",,2025,1018,1219
46123,"Tripp County, South Dakota",,2025,988,261
48477,"Washington County, Texas",,2025,1014,1082
29157,"Perry County, Missouri",,2025,1019,595
39125,"Paulding County, Ohio",,2025,1031,422
20189,"Stevens County, Kansas",,2025,1061,206
39047,"Fayette County, Ohio",,2025,1022,702
30023,"Deer Lodge County, Montana",,2025,1050,363
21049,"Clark County, Kentucky",,2025,1090,1087
46091,"Marshall County, South Dakota",,2025,1106,216
48469,"Victoria County, Texas",,2025,1089,2387
48181,"Grayson County, Texas",,2025,1174,3202
54017,"Doddridge County, West Virginia",,2025,1388,128
20089,"Jewell County, Kansas",,2025,702,111
20201,"Washington County, Kansas",,2025,767,292
20029,"Cloud County, Kansas",,2025,807,313
20191,"Sumner County, Kansas",,2025,861,642
20135,"Ness County, Kansas",,2025,912,141
37003,"Alexander County, North Carolina",,2025,900,722
48337,"Montague County, Texas",,2025,932,510
37091,"Hertford County, North Carolina",,2025,941,466
18069,"Huntington County, Indiana",,2025,985,996
20043,"Doniphan County, Kansas",,2025,987,237
46011,"Brookings County, South Dakota",,2025,1109,1405
38093,"Stutsman County, North Dakota",,2025,1129,875
30071,"Phillips County, Montana",,2025,750,193
38027,"Eddy County, North Dakota",,2025,755,104
20163,"Rooks County, Kansas",,2025,866,199
01021,"Chilton County, Alabama",,2025,910,948
40021,"Cherokee County, Oklahoma",,2025,924,939
39029,"Columbiana County, Ohio",,2025,969,2244
48249,"Jim Wells County, Texas",,2025,944,861
20059,"Franklin County, Kansas",,2025,1015,730
18153,"Sullivan County, Indiana",,2025,1031,368
55121,"Trempealeau County, Wisconsin",,2025,1033,839
51071,"Giles County, Virginia",,2025,1025,448
48357,"Ochiltree County, Texas",,2025,1095,389
17157,"Randolph County, Illinois",,2025,1118,598
39167,"Washington County, Ohio",,2025,1181,1633
38055,"McLean County, North Dakota",,2025,1320,396
48475,"Ward County, Texas",,2025,1698,397
54025,"Greenbrier County, West Virginia",,2025,803,1406
17023,"Clark County, Illinois",,2025,900,352
16067,"Minidoka County, Idaho",,2025,936,763
13235,"Pulaski County, Georgia",,2025,909,233
17185,"Wabash County, Illinois",,2025,965,287
29097,"Jasper County, Missouri",,2025,970,3597
13179,"Liberty County, Georgia",,2025,1024,1114
17053,"Ford County, Illinois",,2025,1059,375
45043,"Georgetown County, South Carolina",,2025,1059,2480
45017,"Calhoun County, South Carolina",,2025,1311,298
51163,"Rockbridge County, Virginia",,2025,864,583
20017,"Chase County, Kansas",,2025,857,85
26141,"Presque Isle County, Michigan",,2025,883,340
01063,"Greene County, Alabama",,2025,876,180
21035,"Calloway County, Kentucky",,2025,901,1343
37115,"Madison County, North Carolina",,2025,920,585
46125,"Turner County, South Dakota",,2025,912,351
51067,"Franklin County, Virginia",,2025,919,1628
19035,"Cherokee County, Iowa",,2025,974,446
26063,"Huron County, Michigan",,2025,985,1012
40007,"Beaver County, Oklahoma",,2025,1002,177
39161,"Van Wert County, Ohio",,2025,984,669
20155,"Reno County, Kansas",,2025,1008,1708
37107,"Lenoir County, North Carolina",,2025,994,1380
46135,"Yankton County, South Dakota",,2025,1093,864
12033,"Escambia County, Florida",,2025,1247,9792
47161,"Stewart County, Tennessee",,2025,1245,255
48383,"Reagan County, Texas",,2025,1453,151
29131,"Miller County, Missouri",,2025,829,787
48243,"Jeff Davis County, Texas",,2025,836,87
35031,"McKinley County, New Mexico",,2025,922,1186
35035,"Otero County, New Mexico",,2025,941,1303
38051,"McIntosh County, North Dakota",,2025,903,136
40139,"Texas County, Oklahoma",,2025,1006,583
17159,"Richland County, Illinois",,2025,992,390
48159,"Franklin County, Texas",,2025,1015,507
51045,"Craig County, Virginia",,2025,1021,145
47169,"Trousdale County, Tennessee",,2025,1049,172
12105,"Polk County, Florida",,2025,1111,17466
48211,"Hemphill County, Texas",,2025,1279,189
51770,"Roanoke city, Virginia",,2025,1254,3603
20097,"Kiowa County, Kansas",,2025,723,102
17061,"Greene County, Illinois",,2025,839,254
46117,"Stanley County, South Dakota",,2025,860,153
05025,"Cleveland County, Arkansas",,2025,851,126
35006,"Cibola County, New Mexico",,2025,930,461
40081,"Lincoln County, Oklahoma",,2025,984,732
38079,"Rolette County, North Dakota",,2025,991,284
37033,"Caswell County, North Carolina",,2025,988,325
37057,"Davidson County, North Carolina",,2025,1048,3610
18107,"Montgomery County, Indiana",,2025,1155,936
48395,"Robertson County, Texas",,2025,1234,396
48289,"Leon County, Texas",,2025,1306,418
46085,"Lyman County, South Dakota",,2025,772,140
51011,"Appomattox County, Virginia",,2025,807,514
48363,"Palo Pinto County, Texas",,2025,931,728
29173,"Ralls County, Missouri",,2025,1023,279
20169,"Saline County, Kansas",,2025,991,1611
30101,"Toole County, Montana",,2025,1130,252
48431,"Sterling County, Texas",,2025,1173,85
45023,"Chester County, South Carolina",,2025,1179,691
22057,"Lafourche Parish, Louisiana",,2025,1253,2225
26085,"Lake County, Michigan",,2025,809,187
18149,"Starke County, Indiana",,2025,855,343
17075,"Iroquois County, Illinois",,2025,883,672
18021,"Clay County, Indiana",,2025,892,536
30041,"Hill County, Montana",,2025,936,610
26041,"Delta County, Michigan",,2025,945,1061
20061,"Geary County, Kansas",,2025,987,772
38005,"Benson County, North Dakota",,2025,1030,148
39053,"Gallia County, Ohio",,2025,1005,766
18169,"Wabash County, Indiana",,2025,1009,785
13275,"Thomas County, Georgia",,2025,1096,1542
37127,"Nash County, North Carolina",,2025,1133,2438
17099,"LaSalle County, Illinois",,2025,1209,2462
54103,"Wetzel County, West Virginia",,2025,1168,444
17115,"Macon County, Illinois",,2025,1442,1995
29015,"Benton County, Missouri",,2025,753,569
39015,"Brown County, Ohio",,2025,839,771
26071,"Iron County, Michigan",,2025,893,392
20187,"Stanton County, Kansas",,2025,863,94
31067,"Gage County, Nebraska",,2025,941,747
12029,"Dixie County, Florida",,2025,919,277
45067,"Marion County, South Carolina",,2025,928,474
20133,"Neosho County, Kansas",,2025,919,504
29159,"Pettis County, Missouri",,2025,978,1347
29031,"Cape Girardeau County, Missouri",,2025,1009,2893
21047,"Christian County, Kentucky",,2025,1096,2196
47179,"Washington County, Tennessee",,2025,1125,3701
12119,"Sumter County, Florida",,2025,1153,2824
48355,"Nueces County, Texas",,2025,1197,8403
