GEOID,county_name,state_name,year,median_income,median_income_black,median_income_white,median_income_hispanic,median_income_asian
19151,"Pocahontas County, Iowa",Iowa,2023,63423,,67426,40192,0
06049,"Modoc County, California",California,2023,56648,,57935,40286,0
17067,"Hancock County, Illinois",Illinois,2023,65044,,66422,48375,0
28017,"Chickasaw County, Mississippi",Mississippi,2023,43041,34243,47356,51855,0
18111,"Newton County, Indiana",Indiana,2023,68596,,66519,60139,0
53001,"Adams County, Washington",Washington,2023,65042,,74483,60766,0
19149,"Plymouth County, Iowa",Iowa,2023,81600,63892,81707,74504,0
46115,"Spink County, South Dakota",South Dakota,2023,73011,,72614,83864,0
26119,"Montmorency County, Michigan",Michigan,2023,47803,,48088,113372,0
32029,"Storey County, Nevada",Nevada,2023,96000,,89375,116117,0
48261,"Kenedy County, Texas",Texas,2023,0,,0,0,0
54101,"Webster County, West Virginia",West Virginia,2023,42061,,43047,0,0
48301,"Loving County, Texas",Texas,2023,51087,,51359,0,0
28079,"Leake County, Mississippi",Mississippi,2023,48418,46055,52900,0,0
13283,"Treutlen County, Georgia",Georgia,2023,43750,30500,55341,0,0
51091,"Highland County, Virginia",Virginia,2023,62946,,62500,0,0
22083,"Richland Parish, Louisiana",Louisiana,2023,52960,24462,65903,0,0
17109,"McDonough County, Illinois",Illinois,2023,50434,39674,51924,0,69444
37147,"Pitt County, North Carolina",North Carolina,2023,58851,45500,71114,53750,70893
29167,"Polk County, Missouri",Missouri,2023,56686,,56091,53864,72586
51710,"Norfolk city, Virginia",Virginia,2023,64017,46049,81510,57276,72805
48471,"Walker County, Texas",Texas,2023,49862,41866,53575,43193,78476
51620,"Franklin city, Virginia",Virginia,2023,65125,55408,77031,56458,85854
48139,"Ellis County, Texas",Texas,2023,95898,98142,99545,74434,93984
28059,"Jackson County, Mississippi",Mississippi,2023,64756,41515,70273,60274,94191
37191,"Wayne County, North Carolina",North Carolina,2023,58082,46223,67433,51957,96466
24013,"Carroll County, Maryland",Maryland,2023,115876,112953,116312,108375,100533
09170,"South Central Connecticut Planning Region, Connecticut",Connecticut,2023,86266,57700,97900,58279,105945
55047,"Green Lake County, Wisconsin",Wisconsin,2023,66917,,67677,59375,111250
06065,"Riverside County, California",California,2023,89672,84728,93974,82005,114488
53011,"Clark County, Washington",Washington,2023,94948,60819,96282,75558,120496
48085,"Collin County, Texas",Texas,2023,117588,84968,120493,87151,147227
51099,"King George County, Virginia",Virginia,2023,110517,85938,118081,105313,150833
37183,"Wake County, North Carolina",North Carolina,2023,101763,62967,114581,72557,155810
13165,"Jenkins County, Georgia",Georgia,2023,36906,22428,48438,26458,0
29215,"Texas County, Missouri",Missouri,2023,48055,56136,48398,35833,0
48155,"Foard County, Texas",Texas,2023,42212,,49231,39464,0
40073,"Kingfisher County, Oklahoma",Oklahoma,2023,70617,105588,75977,54317,0
20111,"Lyon County, Kansas",Kansas,2023,59078,33214,59105,60821,0
48199,"Hardin County, Texas",Texas,2023,72532,59464,74725,62479,0
37007,"Anson County, North Carolina",North Carolina,2023,44245,34088,50000,63133,0
55019,"Clark County, Wisconsin",Wisconsin,2023,66250,,66659,63295,0
26157,"Tuscola County, Michigan",Michigan,2023,62847,24500,63206,65739,0
13161,"Jeff Davis County, Georgia",Georgia,2023,40879,23068,41938,68868,0
18047,"Franklin County, Indiana",Indiana,2023,79702,,80388,69315,0
18165,"Vermillion County, Indiana",Indiana,2023,59363,,59487,73438,0
26101,"Manistee County, Michigan",Michigan,2023,60879,,60556,73512,0
08103,"Rio Blanco County, Colorado",Colorado,2023,72620,,72691,76509,0
29125,"Maries County, Missouri",Missouri,2023,61359,,62941,82557,0
41063,"Wallowa County, Oregon",Oregon,2023,65559,,66332,95905,0
55069,"Lincoln County, Wisconsin",Wisconsin,2023,67726,53021,66724,100192,0
31077,"Greeley County, Nebraska",Nebraska,2023,58894,,59567,0,0
40113,"Osage County, Oklahoma",Oklahoma,2023,60482,48611,63497,46641,35972
42101,"Philadelphia County, Pennsylvania",Pennsylvania,2023,60698,45099,84528,47195,62699
06007,"Butte County, California",California,2023,68574,30766,71699,57892,68417
31119,"Madison County, Nebraska",Nebraska,2023,64637,,65793,49968,82431
12035,"Flagler County, Florida",Florida,2023,72923,59982,74756,61673,86250
45085,"Sumter County, South Carolina",South Carolina,2023,55990,41630,68325,48164,93000
13039,"Camden County, Georgia",Georgia,2023,72399,53295,77781,69803,98885
17031,"Cook County, Illinois",Illinois,2023,81797,49888,99788,72641,102080
18005,"Bartholomew County, Indiana",Indiana,2023,80365,85216,77318,70117,113069
08013,"Boulder County, Colorado",Colorado,2023,102772,61594,105938,75506,117917
09120,"Greater Bridgeport Planning Region, Connecticut",Connecticut,2023,87135,63435,104217,55841,120313
06085,"Santa Clara County, California",California,2023,159674,95255,159432,101295,199759
30073,"Pondera County, Montana",Montana,2023,53500,,59310,19107,0
45081,"Saluda County, South Carolina",South Carolina,2023,52957,40731,65777,41548,0
08105,"Rio Grande County, Colorado",Colorado,2023,62166,,62023,59792,0
12079,"Madison County, Florida",Florida,2023,48176,32404,58763,60000,0
24011,"Caroline County, Maryland",Maryland,2023,66368,36956,72059,63125,0
18147,"Spencer County, Indiana",Indiana,2023,70890,31563,71990,63438,0
18087,"LaGrange County, Indiana",Indiana,2023,83741,,84402,79009,0
21057,"Cumberland County, Kentucky",Kentucky,2023,39662,,39759,81042,0
08049,"Grand County, Colorado",Colorado,2023,84558,,85625,85125,0
13175,"Laurens County, Georgia",Georgia,2023,49705,31705,62936,105550,0
50013,"Grand Isle County, Vermont",Vermont,2023,90625,,91438,130625,0
51580,"Covington city, Virginia",Virginia,2023,42724,53542,43013,0,0
51051,"Dickenson County, Virginia",Virginia,2023,43831,,43681,0,0
51520,"Bristol city, Virginia",Virginia,2023,44706,40569,48292,0,0
28037,"Franklin County, Mississippi",Mississippi,2023,45618,25737,52152,0,0
45011,"Barnwell County, South Carolina",South Carolina,2023,41800,27402,65529,0,0
40033,"Cotton County, Oklahoma",Oklahoma,2023,60313,,65737,0,0
31125,"Nance County, Nebraska",Nebraska,2023,65438,,66094,0,0
56045,"Weston County, Wyoming",Wyoming,2023,87545,,87238,0,0
29141,"Morgan County, Missouri",Missouri,2023,49663,2499,50469,120917,35667
39083,"Knox County, Ohio",Ohio,2023,73988,152644,75096,87739,56250
55063,"La Crosse County, Wisconsin",Wisconsin,2023,70704,64931,71684,60192,62121
13245,"Richmond County, Georgia",Georgia,2023,53197,45052,67311,61852,67849
06045,"Mendocino County, California",California,2023,64688,65679,67266,61107,73587
54053,"Mason County, West Virginia",West Virginia,2023,53454,,53377,0,74792
47065,"Hamilton County, Tennessee",Tennessee,2023,72568,46266,83220,62286,88889
45079,"Richland County, South Carolina",South Carolina,2023,61699,51440,80476,53141,91316
18107,"Montgomery County, Indiana",Indiana,2023,66571,,66653,49600,105068
42021,"Cambria County, Pennsylvania",Pennsylvania,2023,56292,27936,57836,40938,109342
55055,"Jefferson County, Wisconsin",Wisconsin,2023,80604,,80997,72750,114375
22005,"Ascension Parish, Louisiana",Louisiana,2023,92266,63754,102500,67310,118750
