GEOID,county_name,state,black_progress_index,black_progress_index_centile,life_exp_black,low_birth_black,math_black,education_ba_rate_black,homeowner_rate_black,business_owner_rate,median_hh_income_black_ln,pct_black
01001,Autauga County,Alabama,72.802681,39,73.93261,0.14496768,32.171009,19.5,0.62433594,0,10.332604,0.19529466
01003,Baldwin County,Alabama,74.412712,61,73.786583,0.15002698,29.128534,17.4,0.62485081,0.0025558018,10.584056,0.087741479
01005,Barbour County,Alabama,69.980171,4,70.588295,0.15746607,13.847158,4.6999998,0.51673943,0,10.03605,0.47666427
01007,Bibb County,Alabama,70.319466,5,72.298637,0.17250673,18.229065,1.7,0.51329392,0,9.5881605,0.22548494
01009,Blount County,Alabama,73.92952,55,,,49.861111,1.7,0.92561984,0,10.660923,0.01399013
01011,Bullock County,Alabama,70.987564,12,71.559547,0.1781874,15.702326,6.4000001,0.7299239,0,10.187877,0.68612993
01013,Butler County,Alabama,70.788712,9,71.918648,0.15657143,17.239719,11.1,0.59505701,0,10.349774,0.44585827
01015,Calhoun County,Alabama,71.130081,14,72.755898,0.1463016,29.892693,14.3,0.48735088,0,10.537601,0.21159162
01017,Chambers County,Alabama,70.757584,9,74.330338,0.16723843,24.639656,8.8000002,0.57738209,0,10.46296,0.40003589
01019,Cherokee County,Alabama,,,,,39.297752,13.8,0.7013889,0,,0.04801229
01021,Chilton County,Alabama,71.522583,18,73.38298,0.16452442,25.044277,13.4,0.45207667,0,10.404263,0.096677013
01023,Choctaw County,Alabama,,,71.411507,0.1594533,20.152317,10.7,0.77767175,0,10.278253,0.4232066
01025,Clarke County,Alabama,70.240524,5,68.902313,0.16765286,26.482574,5.5999999,0.65137613,0,10.207843,0.45709378
01027,Clay County,Alabama,70.385765,6,70.051186,0.15625,26.95122,4,0.52914286,0,10.284694,0.15318027
01029,Cleburne County,Alabama,,,,,42.692307,27.6,0.66542751,0,,0.02635099
01031,Coffee County,Alabama,71.906548,25,72.268105,0.15367965,36.949593,15,0.40854901,0.0036068531,10.534813,0.17048891
01033,Colbert County,Alabama,71.407181,17,71.216736,0.1557377,32.550297,13.1,0.47567859,0,10.331594,0.16210856
01035,Conecuh County,Alabama,71.112656,14,68.795059,0.17916666,28.96633,12.5,0.6316514,0,10.408858,0.48056304
01037,Coosa County,Alabama,72.832726,40,73.071327,0.22702703,22.550459,6.9000001,0.77302098,0,10.442025,0.32264397
01039,Covington County,Alabama,70.592377,8,68.779205,0.17608696,27.534132,8.5,0.466474,0,10.112735,0.12688699
01041,Crenshaw County,Alabama,71.312309,16,73.208527,0.16428572,33.382114,12.9,0.59574467,0,10.073146,0.23629394
01043,Cullman County,Alabama,73.938545,56,,,39.75,10.1,0.81333333,0,10.805801,0.011314416
01045,Dale County,Alabama,71.584129,20,73.397614,0.1332712,24.006104,15,0.4021793,0,10.330485,0.20678392
01047,Dallas County,Alabama,68.844711,1,69.936104,0.1531155,26.088486,13.8,0.4686656,0.0013662899,10.213543,0.71469724
01049,DeKalb County,Alabama,73.400375,49,,,36.044445,19,0.56790125,0,10.526534,0.015301694
01051,Elmore County,Alabama,72.745712,38,72.075546,0.16233766,35.00201,16.299999,0.5362736,0,10.632316,0.21134362
01053,Escambia County,Alabama,70.291191,5,70.619904,0.14885116,29.625898,6.3000002,0.4410243,0,10.124349,0.32016316
01055,Etowah County,Alabama,71.019913,12,70.327934,0.14294593,32.834846,14.6,0.47047371,0,10.328788,0.16081424
01057,Fayette County,Alabama,70.238991,5,67.573334,0.21019109,18.79114,6.0999999,0.3940182,0,10.303337,0.12208948
01059,Franklin County,Alabama,72.564949,35,,,42.65625,9.1999998,0.48913044,0,10.432025,0.039288316
01061,Geneva County,Alabama,72.270241,31,70.513504,0.18048781,40.408367,4.9000001,0.53038102,0,10.226802,0.10150476
01063,Greene County,Alabama,,,73.143852,0.17176871,19.349112,7.1999998,0.65619969,0,9.9673538,0.78932005
01065,Hale County,Alabama,70.855232,10,70.358139,0.16454229,24.971855,11.3,0.74128091,0,10.039721,0.59143281
