GEOID,county_name,state_name,year,black_population,homeownership_rate,homeownership_rate_black,homeownership_rate_white
51730,"Petersburg city, Virginia",Virginia,2023,25758,38.3,36,51.9
51595,"Emporia city, Virginia",Virginia,2023,3607,38.4,24.7,81.5
06075,"San Francisco County, California",California,2023,42547,38.5,22.6,36.8
28143,"Tunica County, Mississippi",Mississippi,2023,7630,40.8,34.7,65
11001,"District of Columbia, District of Columbia",District of Columbia,2023,290772,41.1,34.9,48
51013,"Arlington County, Virginia",Virginia,2023,22214,41.8,21.1,47.5
20061,"Geary County, Kansas",Kansas,2023,5828,42.8,29.2,48.3
36081,"Queens County, New York",New York,2023,405167,44.9,47.6,48.3
06037,"Los Angeles County, California",California,2023,769139,46.1,32.2,51.1
28105,"Oktibbeha County, Mississippi",Mississippi,2023,18650,47.5,43.8,50.9
51700,"Newport News city, Virginia",Virginia,2023,75773,48.1,32.4,64.9
51590,"Danville city, Virginia",Virginia,2023,21277,49,38.2,63.5
08031,"Denver County, Colorado",Colorado,2023,62785,49.1,36.5,52.6
17077,"Jackson County, Illinois",Illinois,2023,7605,49.3,18.7,57.6
55079,"Milwaukee County, Wisconsin",Wisconsin,2023,241678,49.8,27.4,61
13245,"Richmond County, Georgia",Georgia,2023,115506,51.4,44.3,62.7
51770,"Roanoke city, Virginia",Virginia,2023,28603,51.7,39.9,58.6
12073,"Leon County, Florida",Florida,2023,90582,51.9,34,61.3
28027,"Coahoma County, Mississippi",Mississippi,2023,15784,52,44.3,80.8
42101,"Philadelphia County, Pennsylvania",Pennsylvania,2023,631361,52.3,47.8,57.1
39049,"Franklin County, Ohio",Ohio,2023,304406,53,31.9,62
48453,"Travis County, Texas",Texas,2023,106691,53,37.7,56.5
13031,"Bulloch County, Georgia",Georgia,2023,23003,53.3,28.1,64.2
06113,"Yolo County, California",California,2023,5876,53.6,26.8,58.1
37051,"Cumberland County, North Carolina",North Carolina,2023,125737,53.7,45.3,62.3
47157,"Shelby County, Tennessee",Tennessee,2023,487064,54.6,42.5,71.6
48201,"Harris County, Texas",Texas,2023,909089,54.8,36.2,64.9
05123,"St. Francis County, Arkansas",Arkansas,2023,12504,55.2,43.8,72.1
28163,"Yazoo County, Mississippi",Mississippi,2023,15594,55.3,40.3,75.9
06085,"Santa Clara County, California",California,2023,45325,55.3,30,60.5
53033,"King County, Washington",Washington,2023,147642,56.1,28,61.3
22065,"Madison Parish, Louisiana",Louisiana,2023,6140,56.4,41.5,81.5
06059,"Orange County, California",California,2023,51952,56.4,33.2,61
48375,"Potter County, Texas",Texas,2023,12309,56.5,32.9,59.2
05035,"Crittenden County, Arkansas",Arkansas,2023,24013,56.6,38.9,77.6
36001,"Albany County, New York",New York,2023,38696,56.7,26.2,64.3
06025,"Imperial County, California",California,2023,4460,56.8,43.1,60.1
28151,"Washington County, Mississippi",Mississippi,2023,31511,56.8,47.3,78.4
48471,"Walker County, Texas",Texas,2023,15921,57.1,36.8,60.8
38105,"Williams County, North Dakota",North Dakota,2023,2059,57.2,43.7,60.4
47075,"Haywood County, Tennessee",Tennessee,2023,8861,57.3,46.2,72.7
37181,"Vance County, North Carolina",North Carolina,2023,20746,57.4,42.8,75.4
01101,"Montgomery County, Alabama",Alabama,2023,133683,57.7,47.1,75.1
05119,"Pulaski County, Arkansas",Arkansas,2023,146981,57.7,42.1,69.9
28049,"Hinds County, Mississippi",Mississippi,2023,161009,57.9,50.9,78.4
13285,"Troup County, Georgia",Georgia,2023,25486,57.9,34.7,73.6
48347,"Nacogdoches County, Texas",Texas,2023,11335,58,29.9,65.4
12031,"Duval County, Florida",Florida,2023,291322,58.1,43.1,66.5
