GEOID,county_name,state_name,year,poverty_rate,poverty_rate_black,poverty_rate_white
49029,"Morgan County, Utah",Utah,2023,1.7,,1.7
46117,"Stanley County, South Dakota",South Dakota,2023,2.1,,2.1
48431,"Sterling County, Texas",Texas,2023,2.7,,3.2
35028,"Los Alamos County, New Mexico",New Mexico,2023,2.9,11.6,2.2
25019,"Nantucket County, Massachusetts",Massachusetts,2023,3,4.4,3.1
08035,"Douglas County, Colorado",Colorado,2023,3.2,10.8,3.1
48105,"Crockett County, Texas",Texas,2023,3.3,,3.9
51145,"Powhatan County, Virginia",Virginia,2023,3.3,7.2,3.1
48211,"Hemphill County, Texas",Texas,2023,3.5,13.8,3.3
51610,"Falls Church city, Virginia",Virginia,2023,3.6,1.6,3.3
20075,"Hamilton County, Kansas",Kansas,2023,3.7,,4.9
34019,"Hunterdon County, New Jersey",New Jersey,2023,3.8,7.6,3.5
51075,"Goochland County, Virginia",Virginia,2023,3.9,7,3.5
24009,"Calvert County, Maryland",Maryland,2023,4,8.7,3.3
51107,"Loudoun County, Virginia",Virginia,2023,4,6.6,3.1
21185,"Oldham County, Kentucky",Kentucky,2023,4,11.1,3.6
20063,"Gove County, Kansas",Kansas,2023,4.1,,3.9
27139,"Scott County, Minnesota",Minnesota,2023,4.1,16.2,3.2
30055,"McCone County, Montana",Montana,2023,4.2,,4.6
27019,"Carver County, Minnesota",Minnesota,2023,4.2,23.6,4.1
48397,"Rockwall County, Texas",Texas,2023,4.3,7.9,3.9
18057,"Hamilton County, Indiana",Indiana,2023,4.3,9.1,4.1
08053,"Hinsdale County, Colorado",Colorado,2023,4.5,,4.8
49043,"Summit County, Utah",Utah,2023,4.5,6.2,4.4
18059,"Hancock County, Indiana",Indiana,2023,4.5,6.2,4.5
13117,"Forsyth County, Georgia",Georgia,2023,4.5,4.9,4
47187,"Williamson County, Tennessee",Tennessee,2023,4.5,12.5,4.2
55089,"Ozaukee County, Wisconsin",Wisconsin,2023,4.6,9.6,4.4
17133,"Monroe County, Illinois",Illinois,2023,4.6,78.7,4.2
38065,"Oliver County, North Dakota",North Dakota,2023,4.7,,5.1
49045,"Tooele County, Utah",Utah,2023,4.7,,4.2
29183,"St. Charles County, Missouri",Missouri,2023,4.7,9.3,4.1
31171,"Thomas County, Nebraska",Nebraska,2023,4.8,,4.2
02063,"Chugach Census Area, Alaska",Alaska,2023,4.8,11.1,4.5
48033,"Borden County, Texas",Texas,2023,4.8,,5.2
27141,"Sherburne County, Minnesota",Minnesota,2023,4.8,7.9,4.4
33015,"Rockingham County, New Hampshire",New Hampshire,2023,4.8,6.3,4.6
27171,"Wright County, Minnesota",Minnesota,2023,4.9,2.3,4.5
31025,"Cass County, Nebraska",Nebraska,2023,4.9,3.3,4.8
17093,"Kendall County, Illinois",Illinois,2023,4.9,11.6,3.5
26093,"Livingston County, Michigan",Michigan,2023,4.9,11.6,4.9
08091,"Ouray County, Colorado",Colorado,2023,5,,3.5
37029,"Camden County, North Carolina",North Carolina,2023,5,5.4,5.1
08014,"Broomfield County, Colorado",Colorado,2023,5,6.1,4.3
27163,"Washington County, Minnesota",Minnesota,2023,5,8.9,4.2
39041,"Delaware County, Ohio",Ohio,2023,5,13.1,4.5
18063,"Hendricks County, Indiana",Indiana,2023,5,11.4,3.9
18011,"Boone County, Indiana",Indiana,2023,5.1,7.9,5.1
39159,"Union County, Ohio",Ohio,2023,5.1,3.1,5.3
49051,"Wasatch County, Utah",Utah,2023,5.1,,3.9
48259,"Kendall County, Texas",Texas,2023,5.1,,4.2
51179,"Stafford County, Virginia",Virginia,2023,5.1,4.6,3.5
38013,"Burke County, North Dakota",North Dakota,2023,5.1,,4.2
34027,"Morris County, New Jersey",New Jersey,2023,5.1,10.5,4.2
24027,"Howard County, Maryland",Maryland,2023,5.1,11.7,3
31183,"Wheeler County, Nebraska",Nebraska,2023,5.2,,5.4
55133,"Waukesha County, Wisconsin",Wisconsin,2023,5.2,22.1,4.8
31153,"Sarpy County, Nebraska",Nebraska,2023,5.2,11.2,4.5
51085,"Hanover County, Virginia",Virginia,2023,5.2,13.5,3.9
51127,"New Kent County, Virginia",Virginia,2023,5.2,14.6,3.9
55131,"Washington County, Wisconsin",Wisconsin,2023,5.3,2.4,5.2
36059,"Nassau County, New York",New York,2023,5.3,7.1,4.1
20091,"Johnson County, Kansas",Kansas,2023,5.3,11.9,4.4
19119,"Lyon County, Iowa",Iowa,2023,5.3,,5.3
24013,"Carroll County, Maryland",Maryland,2023,5.3,14.3,4.4
08039,"Elbert County, Colorado",Colorado,2023,5.3,8.1,5.1
20163,"Rooks County, Kansas",Kansas,2023,5.3,9.9,4.2
20067,"Grant County, Kansas",Kansas,2023,5.4,,5.2
31093,"Howard County, Nebraska",Nebraska,2023,5.4,,5.8
34037,"Sussex County, New Jersey",New Jersey,2023,5.4,7.3,5.5
39165,"Warren County, Ohio",Ohio,2023,5.4,4.3,4.9
51199,"York County, Virginia",Virginia,2023,5.4,9,4.1
25007,"Dukes County, Massachusetts",Massachusetts,2023,5.4,8.7,4.2
19181,"Warren County, Iowa",Iowa,2023,5.4,21.8,5.3
27039,"Dodge County, Minnesota",Minnesota,2023,5.4,70.9,4.2
34035,"Somerset County, New Jersey",New Jersey,2023,5.5,8.4,3.9
13113,"Fayette County, Georgia",Georgia,2023,5.5,7.3,4.9
24003,"Anne Arundel County, Maryland",Maryland,2023,5.5,8.4,4.1
20195,"Trego County, Kansas",Kansas,2023,5.5,100,5.4
41027,"Hood River County, Oregon",Oregon,2023,5.5,18.3,4.8
46063,"Harding County, South Dakota",South Dakota,2023,5.6,,5.1
27037,"Dakota County, Minnesota",Minnesota,2023,5.6,13.8,4.2
12129,"Wakulla County, Florida",Florida,2023,5.6,6.5,5.5
55015,"Calumet County, Wisconsin",Wisconsin,2023,5.7,19.6,4.6
02195,"Petersburg Borough, Alaska",Alaska,2023,5.7,14,4.2
18087,"LaGrange County, Indiana",Indiana,2023,5.7,15.4,5.7
20097,"Kiowa County, Kansas",Kansas,2023,5.7,53.3,5.5
48011,"Armstrong County, Texas",Texas,2023,5.8,,5.3
17013,"Calhoun County, Illinois",Illinois,2023,5.8,,6.1
39055,"Geauga County, Ohio",Ohio,2023,5.8,8.8,5.4
51685,"Manassas Park city, Virginia",Virginia,2023,5.8,1,3.2
19049,"Dallas County, Iowa",Iowa,2023,5.8,2.6,5.6
51735,"Poquoson city, Virginia",Virginia,2023,5.8,12.4,6
46083,"Lincoln County, South Dakota",South Dakota,2023,5.8,41,4.1
48261,"Kenedy County, Texas",Texas,2023,5.9,,30
17147,"Piatt County, Illinois",Illinois,2023,5.9,5.4,5.8
27025,"Chisago County, Minnesota",Minnesota,2023,5.9,14.5,5.6
42029,"Chester County, Pennsylvania",Pennsylvania,2023,5.9,18.1,4.7
51059,"Fairfax County, Virginia",Virginia,2023,5.9,8.9,4.1
20083,"Hodgeman County, Kansas",Kansas,2023,6,,5.7
49011,"Davis County, Utah",Utah,2023,6,8.7,5.7
02100,"Haines Borough, Alaska",Alaska,2023,6.1,,4.2
51023,"Botetourt County, Virginia",Virginia,2023,6.1,3.6,6.1
17111,"McHenry County, Illinois",Illinois,2023,6.1,8.4,5.4
13223,"Paulding County, Georgia",Georgia,2023,6.1,7,5.4
51061,"Fauquier County, Virginia",Virginia,2023,6.1,4,6.2
39103,"Medina County, Ohio",Ohio,2023,6.1,27.2,5.6
51153,"Prince William County, Virginia",Virginia,2023,6.1,6.1,4.7
42017,"Bucks County, Pennsylvania",Pennsylvania,2023,6.1,12.1,5.3
39107,"Mercer County, Ohio",Ohio,2023,6.1,30.7,5.9
13219,"Oconee County, Georgia",Georgia,2023,6.1,26.9,4.7
20093,"Kearny County, Kansas",Kansas,2023,6.1,58.7,6.7
56011,"Crook County, Wyoming",Wyoming,2023,6.2,,6.1
31027,"Cedar County, Nebraska",Nebraska,2023,6.2,,5.6
46061,"Hanson County, South Dakota",South Dakota,2023,6.2,,6.5
31143,"Polk County, Nebraska",Nebraska,2023,6.2,,5.4
02230,"Skagway Municipality, Alaska",Alaska,2023,6.2,,8.8
02090,"Fairbanks North Star Borough, Alaska",Alaska,2023,6.2,12.5,5.4
19059,"Dickinson County, Iowa",Iowa,2023,6.3,,6
48421,"Sherman County, Texas",Texas,2023,6.3,,6.7
22023,"Cameron Parish, Louisiana",Louisiana,2023,6.3,,6.7
17063,"Grundy County, Illinois",Illinois,2023,6.3,17,5.7
48491,"Williamson County, Texas",Texas,2023,6.3,10.4,5.5
24021,"Frederick County, Maryland",Maryland,2023,6.3,12.3,5
48085,"Collin County, Texas",Texas,2023,6.3,10.2,5.3
30077,"Powell County, Montana",Montana,2023,6.3,,6.7
20087,"Jefferson County, Kansas",Kansas,2023,6.3,9.9,5.8
30043,"Jefferson County, Montana",Montana,2023,6.3,35.7,5.6
38087,"Slope County, North Dakota",North Dakota,2023,6.4,,6
48393,"Roberts County, Texas",Texas,2023,6.4,,4.5
48319,"Mason County, Texas",Texas,2023,6.4,,7.2
18173,"Warrick County, Indiana",Indiana,2023,6.4,10.7,6.5
55087,"Outagamie County, Wisconsin",Wisconsin,2023,6.4,21.4,5.3
19167,"Sioux County, Iowa",Iowa,2023,6.4,,6.6
17043,"DuPage County, Illinois",Illinois,2023,6.4,17,5.1
34025,"Monmouth County, New Jersey",New Jersey,2023,6.4,13.8,5.3
36103,"Suffolk County, New York",New York,2023,6.4,9.7,5.3
19075,"Grundy County, Iowa",Iowa,2023,6.4,,6.5
18161,"Union County, Indiana",Indiana,2023,6.4,,6.6
48091,"Comal County, Texas",Texas,2023,6.4,7,6.1
31155,"Saunders County, Nebraska",Nebraska,2023,6.4,14.7,5.3
08107,"Routt County, Colorado",Colorado,2023,6.4,39.2,5.7
30069,"Petroleum County, Montana",Montana,2023,6.5,,6.5
27055,"Houston County, Minnesota",Minnesota,2023,6.5,,6.4
48425,"Somervell County, Texas",Texas,2023,6.5,70.3,5.4
13057,"Cherokee County, Georgia",Georgia,2023,6.5,7,6
33011,"Hillsborough County, New Hampshire",New Hampshire,2023,6.5,12.2,6
36079,"Putnam County, New York",New York,2023,6.5,8,5.6
51099,"King George County, Virginia",Virginia,2023,6.5,8.2,5.7
06081,"San Mateo County, California",California,2023,6.5,13,5.6
29037,"Cass County, Missouri",Missouri,2023,6.5,12.6,6.2
42091,"Montgomery County, Pennsylvania",Pennsylvania,2023,6.5,13.2,5.1
51095,"James City County, Virginia",Virginia,2023,6.5,13.1,4.7
46033,"Custer County, South Dakota",South Dakota,2023,6.6,18.8,6.1
32017,"Lincoln County, Nevada",Nevada,2023,6.6,100,6
46057,"Hamlin County, South Dakota",South Dakota,2023,6.6,,6.6
27003,"Anoka County, Minnesota",Minnesota,2023,6.6,13.3,5.6
21015,"Boone County, Kentucky",Kentucky,2023,6.6,9.2,6.3
24017,"Charles County, Maryland",Maryland,2023,6.6,6,6.5
25021,"Norfolk County, Massachusetts",Massachusetts,2023,6.6,11.7,5.6
46059,"Hand County, South Dakota",South Dakota,2023,6.6,,6.8
20119,"Meade County, Kansas",Kansas,2023,6.6,,5.3
02068,"Denali Borough, Alaska",Alaska,2023,6.6,14.3,4.9
18147,"Spencer County, Indiana",Indiana,2023,6.6,25.7,6.5
55109,"St. Croix County, Wisconsin",Wisconsin,2023,6.6,45.8,5.9
31099,"Kearney County, Nebraska",Nebraska,2023,6.7,,6.8
16025,"Camas County, Idaho",Idaho,2023,6.7,,8
46039,"Deuel County, South Dakota",South Dakota,2023,6.7,,7.1
19015,"Boone County, Iowa",Iowa,2023,6.7,4.6,6.5
12109,"St. Johns County, Florida",Florida,2023,6.7,9.7,5.9
06061,"Placer County, California",California,2023,6.7,7.6,6.3
36091,"Saratoga County, New York",New York,2023,6.7,11.3,6.5
08059,"Jefferson County, Colorado",Colorado,2023,6.7,16.2,6
34003,"Bergen County, New Jersey",New Jersey,2023,6.7,10,6.1
51683,"Manassas city, Virginia",Virginia,2023,6.7,14.6,4.5
31081,"Hamilton County, Nebraska",Nebraska,2023,6.7,19,4.9
20121,"Miami County, Kansas",Kansas,2023,6.7,40.3,5.9
30057,"Madison County, Montana",Montana,2023,6.8,,6.7
48205,"Hartley County, Texas",Texas,2023,6.8,,3.1
19121,"Madison County, Iowa",Iowa,2023,6.8,6.7,6.7
44001,"Bristol County, Rhode Island",Rhode Island,2023,6.8,13,6.7
29165,"Platte County, Missouri",Missouri,2023,6.8,10.3,6.3
13073,"Columbia County, Georgia",Georgia,2023,6.8,8.4,5.5
19149,"Plymouth County, Iowa",Iowa,2023,6.8,9.4,6
51073,"Gloucester County, Virginia",Virginia,2023,6.8,13,6
51003,"Albemarle County, Virginia",Virginia,2023,6.8,14.4,5.8
51041,"Chesterfield County, Virginia",Virginia,2023,6.8,9,4.6
34005,"Burlington County, New Jersey",New Jersey,2023,6.8,9.8,5.1
08019,"Clear Creek County, Colorado",Colorado,2023,6.8,38.1,6.2
31097,"Johnson County, Nebraska",Nebraska,2023,6.8,11.4,6.7
09130,"Lower Connecticut River Valley Planning Region, Connecticut",Connecticut,2023,6.9,15.3,5.7
19131,"Mitchell County, Iowa",Iowa,2023,6.9,20,6.4
20069,"Gray County, Kansas",Kansas,2023,6.9,,6.7
31177,"Washington County, Nebraska",Nebraska,2023,6.9,,6.6
31159,"Seward County, Nebraska",Nebraska,2023,6.9,1.6,6.8
38097,"Traill County, North Dakota",North Dakota,2023,6.9,32,6.4
20193,"Thomas County, Kansas",Kansas,2023,6.9,,6.8
01117,"Shelby County, Alabama",Alabama,2023,6.9,7.8,6
06085,"Santa Clara County, California",California,2023,6.9,12.8,5.7
19129,"Mills County, Iowa",Iowa,2023,6.9,3.6,7
18073,"Jasper County, Indiana",Indiana,2023,6.9,6.3,6.9
51043,"Clarke County, Virginia",Virginia,2023,6.9,29.8,5.6
31073,"Gosper County, Nebraska",Nebraska,2023,7,,6.2
51113,"Madison County, Virginia",Virginia,2023,7,7.5,6.7
19019,"Buchanan County, Iowa",Iowa,2023,7,9,7
13177,"Lee County, Georgia",Georgia,2023,7,12.2,5.4
55045,"Green County, Wisconsin",Wisconsin,2023,7,11.1,7
38059,"Morton County, North Dakota",North Dakota,2023,7,4.4,6.3
24025,"Harford County, Maryland",Maryland,2023,7,11.9,5.8
51177,"Spotsylvania County, Virginia",Virginia,2023,7,11.6,5.1
48121,"Denton County, Texas",Texas,2023,7,11.5,6
24035,"Queen Anne's County, Maryland",Maryland,2023,7,14.4,5.1
17197,"Will County, Illinois",Illinois,2023,7,14.6,5.1
53029,"Island County, Washington",Washington,2023,7,9.6,6.7
56039,"Teton County, Wyoming",Wyoming,2023,7,23.4,6.6
29199,"Scotland County, Missouri",Missouri,2023,7.1,,7.2
31117,"McPherson County, Nebraska",Nebraska,2023,7.1,,7
30083,"Richland County, Montana",Montana,2023,7.1,35.7,7.5
38075,"Renville County, North Dakota",North Dakota,2023,7.1,,5.2
32029,"Storey County, Nevada",Nevada,2023,7.1,1.3,7
26089,"Leelanau County, Michigan",Michigan,2023,7.1,12.5,5.6
31051,"Dixon County, Nebraska",Nebraska,2023,7.1,,7.1
39137,"Putnam County, Ohio",Ohio,2023,7.1,27.5,5.9
27079,"Le Sueur County, Minnesota",Minnesota,2023,7.1,55.9,5.8
19037,"Chickasaw County, Iowa",Iowa,2023,7.1,18.8,6.6
31167,"Stanton County, Nebraska",Nebraska,2023,7.1,,7.6
20197,"Wabaunsee County, Kansas",Kansas,2023,7.1,,7
23005,"Cumberland County, Maine",Maine,2023,7.1,27.9,6
19125,"Marion County, Iowa",Iowa,2023,7.1,10.8,6.8
25023,"Plymouth County, Massachusetts",Massachusetts,2023,7.1,15.3,5.6
51013,"Arlington County, Virginia",Virginia,2023,7.1,14.6,4.5
33013,"Merrimack County, New Hampshire",New Hampshire,2023,7.1,10.4,6.8
56023,"Lincoln County, Wyoming",Wyoming,2023,7.1,,6.1
24031,"Montgomery County, Maryland",Maryland,2023,7.1,11.4,4
20149,"Pottawatomie County, Kansas",Kansas,2023,7.1,1,7.4
51069,"Frederick County, Virginia",Virginia,2023,7.1,10.1,6.4
46019,"Butte County, South Dakota",South Dakota,2023,7.2,,6.7
08065,"Lake County, Colorado",Colorado,2023,7.2,,4.9
31031,"Cherry County, Nebraska",Nebraska,2023,7.2,30.8,7.6
19051,"Davis County, Iowa",Iowa,2023,7.2,,7.4
27161,"Waseca County, Minnesota",Minnesota,2023,7.2,34.8,6.4
18179,"Wells County, Indiana",Indiana,2023,7.2,1.1,7.4
13029,"Bryan County, Georgia",Georgia,2023,7.2,8.1,6.4
48157,"Fort Bend County, Texas",Texas,2023,7.2,8.3,5.4
18081,"Johnson County, Indiana",Indiana,2023,7.2,15.5,7
08097,"Pitkin County, Colorado",Colorado,2023,7.2,63.6,5.7
38025,"Dunn County, North Dakota",North Dakota,2023,7.2,8.7,7.3
19031,"Cedar County, Iowa",Iowa,2023,7.2,19.1,6.5
48065,"Carson County, Texas",Texas,2023,7.2,19.2,7.8
31083,"Harlan County, Nebraska",Nebraska,2023,7.2,40,7.2
08093,"Park County, Colorado",Colorado,2023,7.2,45.7,7.4
16029,"Caribou County, Idaho",Idaho,2023,7.3,,7.6
19195,"Worth County, Iowa",Iowa,2023,7.3,,7.4
48039,"Brazoria County, Texas",Texas,2023,7.3,6.5,7.1
51161,"Roanoke County, Virginia",Virginia,2023,7.3,10.5,6.9
46127,"Union County, South Dakota",South Dakota,2023,7.3,,7.6
38023,"Divide County, North Dakota",North Dakota,2023,7.3,3.9,7.1
51015,"Augusta County, Virginia",Virginia,2023,7.3,25.4,6
09190,"Western Connecticut Planning Region, Connecticut",Connecticut,2023,7.4,14.5,4.7
31129,"Nuckolls County, Nebraska",Nebraska,2023,7.4,,6.1
46087,"McCook County, South Dakota",South Dakota,2023,7.4,,7.4
16013,"Blaine County, Idaho",Idaho,2023,7.4,,7.3
27147,"Steele County, Minnesota",Minnesota,2023,7.4,24.8,7.1
13211,"Morgan County, Georgia",Georgia,2023,7.4,10.4,6.1
25001,"Barnstable County, Massachusetts",Massachusetts,2023,7.4,8.5,6.5
29003,"Andrew County, Missouri",Missouri,2023,7.4,,6.6
13103,"Effingham County, Georgia",Georgia,2023,7.4,11.2,6.5
48165,"Gaines County, Texas",Texas,2023,7.4,0.4,5.3
27089,"Marshall County, Minnesota",Minnesota,2023,7.4,5.6,7.3
44003,"Kent County, Rhode Island",Rhode Island,2023,7.4,4.2,6.9
21215,"Spencer County, Kentucky",Kentucky,2023,7.4,4.7,7
51093,"Isle of Wight County, Virginia",Virginia,2023,7.4,15,5.1
24037,"St. Mary's County, Maryland",Maryland,2023,7.4,14.3,5.9
13145,"Harris County, Georgia",Georgia,2023,7.4,15.6,5.6
50001,"Addison County, Vermont",Vermont,2023,7.4,22.7,7.1
20159,"Rice County, Kansas",Kansas,2023,7.4,26.9,7.5
08117,"Summit County, Colorado",Colorado,2023,7.4,35.5,5.1
48235,"Irion County, Texas",Texas,2023,7.5,,5.2
19085,"Harrison County, Iowa",Iowa,2023,7.5,,7.5
49001,"Beaver County, Utah",Utah,2023,7.5,,3.3
18061,"Harrison County, Indiana",Indiana,2023,7.5,14,7.3
