GEOID,county_name,state_name,year,median_home_value_with_mortgage,median_home_value_without_mortgage,pct_homeownership_black
48489,"Willacy County, Texas",Texas,2023,125300,49500,0
22035,"East Carroll Parish, Louisiana",Louisiana,2023,187700,64400,48.2
48279,"Lamb County, Texas",Texas,2023,147500,65400,51.2
45011,"Barnwell County, South Carolina",South Carolina,2023,127100,75800,59
37083,"Halifax County, North Carolina",North Carolina,2023,118600,83800,51.7
37103,"Jones County, North Carolina",North Carolina,2023,142100,100600,65.2
47135,"Perry County, Tennessee",Tennessee,2023,133000,101400,75
31107,"Knox County, Nebraska",Nebraska,2023,142900,106600,78.6
46075,"Jones County, South Dakota",South Dakota,2023,131900,109400,0
05071,"Johnson County, Arkansas",Arkansas,2023,144300,111000,39.8
17005,"Bond County, Illinois",Illinois,2023,146700,117000,8.9
01071,"Jackson County, Alabama",Alabama,2023,168100,118600,59.5
20123,"Mitchell County, Kansas",Kansas,2023,95300,120600,0
29137,"Monroe County, Missouri",Missouri,2023,160100,123800,28.8
28093,"Marshall County, Mississippi",Mississippi,2023,196700,125200,71
40147,"Washington County, Oklahoma",Oklahoma,2023,181300,139900,44.9
38057,"Mercer County, North Dakota",North Dakota,2023,249500,149900,0
29177,"Ray County, Missouri",Missouri,2023,203800,152000,13.7
46063,"Harding County, South Dakota",South Dakota,2023,146200,166200,100
55031,"Douglas County, Wisconsin",Wisconsin,2023,196400,173300,54.1
30073,"Pondera County, Montana",Montana,2023,171900,182400,0
51159,"Richmond County, Virginia",Virginia,2023,211900,218800,55.5
49027,"Millard County, Utah",Utah,2023,257500,232500,0
29047,"Clay County, Missouri",Missouri,2023,264300,239500,35.9
21113,"Jessamine County, Kentucky",Kentucky,2023,243600,249100,21.2
48041,"Brazos County, Texas",Texas,2023,293300,254300,23.8
47093,"Knox County, Tennessee",Tennessee,2023,293000,255600,42
18059,"Hancock County, Indiana",Indiana,2023,255600,264400,82.2
20125,"Montgomery County, Kansas",Kansas,2023,122900,72500,45.4
20099,"Labette County, Kansas",Kansas,2023,123600,73600,36.8
38051,"McIntosh County, North Dakota",North Dakota,2023,112900,74300,0
55078,"Menominee County, Wisconsin",Wisconsin,2023,231800,84700,0
48017,"Bailey County, Texas",Texas,2023,115100,85100,100
38091,"Steele County, North Dakota",North Dakota,2023,220200,89800,0
21043,"Carter County, Kentucky",Kentucky,2023,176800,90300,0
22011,"Beauregard Parish, Louisiana",Louisiana,2023,200300,110400,64
48095,"Concho County, Texas",Texas,2023,100700,110500,0
29089,"Howard County, Missouri",Missouri,2023,179000,123200,60.7
45065,"McCormick County, South Carolina",South Carolina,2023,256900,129200,66.2
46051,"Grant County, South Dakota",South Dakota,2023,197000,155600,0
38003,"Barnes County, North Dakota",North Dakota,2023,169100,166500,0
31143,"Polk County, Nebraska",Nebraska,2023,187500,169400,0
13313,"Whitfield County, Georgia",Georgia,2023,211900,184600,64.6
36031,"Essex County, New York",New York,2023,211400,190100,0
35003,"Catron County, New Mexico",New Mexico,2023,160800,199400,0
38065,"Oliver County, North Dakota",North Dakota,2023,234300,201900,0
36093,"Schenectady County, New York",New York,2023,226200,217100,31.9
45015,"Berkeley County, South Carolina",South Carolina,2023,305800,223400,65.9
20103,"Leavenworth County, Kansas",Kansas,2023,271500,237400,31.9
51023,"Botetourt County, Virginia",Virginia,2023,286900,239300,60.8
37043,"Clay County, North Carolina",North Carolina,2023,248400,283100,72.6
02150,"Kodiak Island Borough, Alaska",Alaska,2023,402500,290700,0
48299,"Llano County, Texas",Texas,2023,333700,312800,29
51510,"Alexandria city, Virginia",Virginia,2023,698400,691700,19.2
06075,"San Francisco County, California",California,2023,1446800,1244800,22.6
54047,"McDowell County, West Virginia",West Virginia,2023,71600,46600,64.5
48275,"Knox County, Texas",Texas,2023,72700,61700,78.1
21063,"Elliott County, Kentucky",Kentucky,2023,151300,77900,0
08009,"Baca County, Colorado",Colorado,2023,152700,100300,0
17125,"Mason County, Illinois",Illinois,2023,111700,100600,60.4
42123,"Warren County, Pennsylvania",Pennsylvania,2023,139400,110500,0
