GEOID,county_name,state_name,year,median_property_tax_with_mortgage,median_property_tax_without_mortgage
40015,"Caddo County, Oklahoma",Oklahoma,2023,821,504
21071,"Floyd County, Kentucky",Kentucky,2023,1063,505
28017,"Chickasaw County, Mississippi",Mississippi,2023,889,574
47079,"Henry County, Tennessee",Tennessee,2023,755,656
47115,"Marion County, Tennessee",Tennessee,2023,876,669
48137,"Edwards County, Texas",Texas,2023,0,693
38007,"Billings County, North Dakota",North Dakota,2023,1462,781
48153,"Floyd County, Texas",Texas,2023,1936,868
13189,"McDuffie County, Georgia",Georgia,2023,1661,881
31091,"Hooker County, Nebraska",Nebraska,2023,1664,1104
42013,"Blair County, Pennsylvania",Pennsylvania,2023,1803,1601
39167,"Washington County, Ohio",Ohio,2023,1716,1608
31163,"Sherman County, Nebraska",Nebraska,2023,1620,1672
13067,"Cobb County, Georgia",Georgia,2023,2841,1683
56033,"Sheridan County, Wyoming",Wyoming,2023,1962,1933
48305,"Lynn County, Texas",Texas,2023,3191,2007
20069,"Gray County, Kansas",Kansas,2023,2730,2014
55037,"Florence County, Wisconsin",Wisconsin,2023,2271,2166
31151,"Saline County, Nebraska",Nebraska,2023,2756,2184
12097,"Osceola County, Florida",Florida,2023,2574,2273
20123,"Mitchell County, Kansas",Kansas,2023,1874,2335
02063,"Chugach Census Area, Alaska",Alaska,2023,4267,2362
55129,"Washburn County, Wisconsin",Wisconsin,2023,2230,2413
55023,"Crawford County, Wisconsin",Wisconsin,2023,2981,2769
26045,"Eaton County, Michigan",Michigan,2023,2966,2842
55091,"Pepin County, Wisconsin",Wisconsin,2023,2899,2846
55073,"Marathon County, Wisconsin",Wisconsin,2023,3201,2978
24003,"Anne Arundel County, Maryland",Maryland,2023,3902,3665
06073,"San Diego County, California",California,2023,6119,3929
36109,"Tompkins County, New York",New York,2023,6576,6114
36047,"Kings County, New York",New York,2023,5952,6393
40089,"McCurtain County, Oklahoma",Oklahoma,2023,725,399
21125,"Laurel County, Kentucky",Kentucky,2023,1077,566
12007,"Bradford County, Florida",Florida,2023,1365,680
37061,"Duplin County, North Carolina",North Carolina,2023,1143,701
13265,"Taliaferro County, Georgia",Georgia,2023,1365,803
49031,"Piute County, Utah",Utah,2023,1086,877
30035,"Glacier County, Montana",Montana,2023,1416,970
29213,"Taney County, Missouri",Missouri,2023,1324,1024
28073,"Lamar County, Mississippi",Mississippi,2023,1582,1212
20187,"Stanton County, Kansas",Kansas,2023,1908,1336
12005,"Bay County, Florida",Florida,2023,1845,1368
30025,"Fallon County, Montana",Montana,2023,1346,1379
13015,"Bartow County, Georgia",Georgia,2023,2181,1381
37059,"Davie County, North Carolina",North Carolina,2023,1605,1518
41033,"Josephine County, Oregon",Oregon,2023,2172,1791
42039,"Crawford County, Pennsylvania",Pennsylvania,2023,2315,1859
37025,"Cabarrus County, North Carolina",North Carolina,2023,2614,1938
12117,"Seminole County, Florida",Florida,2023,2671,2086
27095,"Mille Lacs County, Minnesota",Minnesota,2023,2539,2345
51830,"Williamsburg city, Virginia",Virginia,2023,2115,2444
41005,"Clackamas County, Oregon",Oregon,2023,5185,4788
48209,"Hays County, Texas",Texas,2023,6694,5641
46102,"Oglala Lakota County, South Dakota",South Dakota,2023,0,199
22011,"Beauregard Parish, Louisiana",Louisiana,2023,852,266
21135,"Lewis County, Kentucky",Kentucky,2023,720,452
54105,"Wirt County, West Virginia",West Virginia,2023,759,484
18021,"Clay County, Indiana",Indiana,2023,639,517
47061,"Grundy County, Tennessee",Tennessee,2023,625,523
22079,"Rapides Parish, Louisiana",Louisiana,2023,1278,553
21223,"Trimble County, Kentucky",Kentucky,2023,1670,584
47005,"Benton County, Tennessee",Tennessee,2023,782,606
21095,"Harlan County, Kentucky",Kentucky,2023,881,616
29227,"Worth County, Missouri",Missouri,2023,918,732
13107,"Emanuel County, Georgia",Georgia,2023,1027,737
13299,"Ware County, Georgia",Georgia,2023,1378,740
29065,"Dent County, Missouri",Missouri,2023,919,748
13243,"Randolph County, Georgia",Georgia,2023,902,759
13319,"Wilkinson County, Georgia",Georgia,2023,884,775
28063,"Jefferson County, Mississippi",Mississippi,2023,0,813
20019,"Chautauqua County, Kansas",Kansas,2023,1443,843
38013,"Burke County, North Dakota",North Dakota,2023,1071,923
08075,"Logan County, Colorado",Colorado,2023,1157,933
54069,"Ohio County, West Virginia",West Virginia,2023,987,952
29121,"Macon County, Missouri",Missouri,2023,1106,1000
05045,"Faulkner County, Arkansas",Arkansas,2023,1249,1081
30069,"Petroleum County, Montana",Montana,2023,1672,1107
12129,"Wakulla County, Florida",Florida,2023,1555,1213
16035,"Clearwater County, Idaho",Idaho,2023,1580,1375
13143,"Haralson County, Georgia",Georgia,2023,1971,1396
08019,"Clear Creek County, Colorado",Colorado,2023,2138,2217
19101,"Jefferson County, Iowa",Iowa,2023,2420,2378
06067,"Sacramento County, California",California,2023,4070,2878
55035,"Eau Claire County, Wisconsin",Wisconsin,2023,3549,3341
48113,"Dallas County, Texas",Texas,2023,5448,3621
27053,"Hennepin County, Minnesota",Minnesota,2023,4357,4294
01109,"Pike County, Alabama",Alabama,2023,478,351
54007,"Braxton County, West Virginia",West Virginia,2023,594,433
22045,"Iberia Parish, Louisiana",Louisiana,2023,706,450
05113,"Polk County, Arkansas",Arkansas,2023,589,511
47151,"Scott County, Tennessee",Tennessee,2023,842,532
21195,"Pike County, Kentucky",Kentucky,2023,1263,574
40005,"Atoka County, Oklahoma",Oklahoma,2023,1114,590
29143,"New Madrid County, Missouri",Missouri,2023,905,668
48125,"Dickens County, Texas",Texas,2023,1700,680
45073,"Oconee County, South Carolina",South Carolina,2023,1017,712
35007,"Colfax County, New Mexico",New Mexico,2023,1080,790
28083,"Leflore County, Mississippi",Mississippi,2023,1490,821
13071,"Colquitt County, Georgia",Georgia,2023,1270,845
37121,"Mitchell County, North Carolina",North Carolina,2023,1142,937
31085,"Hayes County, Nebraska",Nebraska,2023,2088,994
39087,"Lawrence County, Ohio",Ohio,2023,1290,1050
37043,"Clay County, North Carolina",North Carolina,2023,1138,1225
31003,"Antelope County, Nebraska",Nebraska,2023,1815,1255
46021,"Campbell County, South Dakota",South Dakota,2023,1274,1260
17149,"Pike County, Illinois",Illinois,2023,1669,1460
51193,"Westmoreland County, Virginia",Virginia,2023,1564,1463
48417,"Shackelford County, Texas",Texas,2023,2778,1825
48211,"Hemphill County, Texas",Texas,2023,3663,1878
21015,"Boone County, Kentucky",Kentucky,2023,2394,1922
17075,"Iroquois County, Illinois",Illinois,2023,2643,2213
42093,"Montour County, Pennsylvania",Pennsylvania,2023,2640,2321
31111,"Lincoln County, Nebraska",Nebraska,2023,2747,2637
19167,"Sioux County, Iowa",Iowa,2023,2738,2697
25003,"Berkshire County, Massachusetts",Massachusetts,2023,3856,3949
55109,"St. Croix County, Wisconsin",Wisconsin,2023,4329,4207
05097,"Montgomery County, Arkansas",Arkansas,2023,723,396
45031,"Darlington County, South Carolina",South Carolina,2023,744,481
40107,"Okfuskee County, Oklahoma",Oklahoma,2023,638,514
05105,"Perry County, Arkansas",Arkansas,2023,872,536
29179,"Reynolds County, Missouri",Missouri,2023,558,551
21159,"Martin County, Kentucky",Kentucky,2023,1014,568
37163,"Sampson County, North Carolina",North Carolina,2023,1314,887
30087,"Rosebud County, Montana",Montana,2023,1608,911
40009,"Beckham County, Oklahoma",Oklahoma,2023,1520,953
39067,"Harrison County, Ohio",Ohio,2023,1280,1175
47043,"Dickson County, Tennessee",Tennessee,2023,1430,1257
30065,"Musselshell County, Montana",Montana,2023,1417,1355
42121,"Venango County, Pennsylvania",Pennsylvania,2023,1727,1362
19063,"Emmet County, Iowa",Iowa,2023,1652,1453
42123,"Warren County, Pennsylvania",Pennsylvania,2023,1865,1564
46023,"Charles Mix County, South Dakota",South Dakota,2023,2415,1578
31037,"Colfax County, Nebraska",Nebraska,2023,1665,1584
13035,"Butts County, Georgia",Georgia,2023,2183,1701
19179,"Wapello County, Iowa",Iowa,2023,1932,1762
19189,"Winnebago County, Iowa",Iowa,2023,1790,1808
39005,"Ashland County, Ohio",Ohio,2023,1768,1822
13139,"Hall County, Georgia",Georgia,2023,2659,1865
19077,"Guthrie County, Iowa",Iowa,2023,2327,1976
31099,"Kearney County, Nebraska",Nebraska,2023,3137,2286
17155,"Putnam County, Illinois",Illinois,2023,2876,2509
27049,"Goodhue County, Minnesota",Minnesota,2023,2866,2866
38017,"Cass County, North Dakota",North Dakota,2023,3509,3329
36115,"Washington County, New York",New York,2023,4112,3413
