GEOID,STATE2KX,CNTY2KX,e(0),se(e(0))
01001,1,1,75.3,1.835
01003,1,3,77.5,1.6443
01005,1,5,74.0,1.6133
01007,1,7,73.6,1.6977
01009,1,9,76.1,1.377
01011,1,11,77.6,2.5941
01013,1,13,73.4,1.7875
01015,1,15,73.1,1.5568
01017,1,17,73.6,1.7189
01019,1,19,74.1,1.4205
01021,1,21,73.9,1.664
01023,1,23,74.7,1.7122
01025,1,25,74.4,2.0162
01027,1,27,74.6,1.5681
01029,1,29,73.3,1.4885
01031,1,31,76.5,1.6746
01033,1,33,73.6,1.6185
01035,1,35,73.5,2.1655
01037,1,37,77.9,1.9183
01039,1,39,74.9,1.7547
01041,1,41,74.5,1.8989
01043,1,43,75.2,1.6621
01045,1,45,76.5,2.0455
01047,1,47,72.5,1.9275
01049,1,49,75.0,1.3379
01051,1,51,75.5,1.7216
01053,1,53,73.5,1.7009
01055,1,55,72.5,1.7792
01057,1,57,73.4,1.2946
01059,1,59,73.4,1.6641
01061,1,61,74.8,1.0773
01063,1,63,75.4,1.78
01065,1,65,75.5,2.2919
01067,1,67,75.8,1.9866
01069,1,69,76.0,1.4372
01071,1,71,73.6,1.4202
01073,1,73,74.2,1.8897
01075,1,75,74.9,2.003
01077,1,77,74.7,1.5439
01079,1,79,73.7,1.9317
01081,1,81,77.5,2.16
01083,1,83,76.0,1.612
01085,1,85,73.7,1.97
01087,1,87,73.1,2.4143
01089,1,89,76.8,1.8356
01091,1,91,75.2,1.6263
01093,1,93,74.4,1.4922
01095,1,95,74.8,1.4377
01097,1,97,74.2,1.8697
01099,1,99,75.0,2.2037
01101,1,101,74.5,2.0418
01103,1,103,75.6,1.8697
01105,1,105,73.9,1.7908
01107,1,107,74.3,1.5583
01109,1,109,75.4,1.9611
01111,1,111,74.4,1.4602
01113,1,113,72.8,1.6554
01115,1,115,74.7,1.48
01117,1,117,78.4,2.0839
01119,1,119,75.9,2.4894
01121,1,121,72.7,1.8381
01123,1,123,74.7,1.9681
01125,1,125,75.0,1.8439
01127,1,127,71.4,1.4865
01129,1,129,74.9,1.7812
01131,1,131,74.2,1.9362
01133,1,133,75.0,1.6723
