GEOID,county_name,state_name,year,most_frequent_commute_time,commute_time_ordinal,pct_drove_alone,pct_carpooled,pct_public_transit,pct_black
30057,Madison County,Montana,2023,10 to 14 minutes,3,0.0,0.0,0.0,0.0
16041,Franklin County,Idaho,2023,10 to 14 minutes,3,0.0,0.0,0.0,0.0
30021,Dawson County,Montana,2023,10 to 14 minutes,3,0.0,0.0,0.0,0.0
56019,Johnson County,Wyoming,2023,10 to 14 minutes,3,0.0,0.0,0.0,0.0
21189,Owsley County,Kentucky,2023,10 to 14 minutes,3,0.0,0.0,,0.0
56011,Crook County,Wyoming,2023,10 to 14 minutes,3,0.0,0.0,0.0,0.0
26083,Keweenaw County,Michigan,2023,10 to 14 minutes,3,0.0,0.0,0.0,0.0
16023,Butte County,Idaho,2023,10 to 14 minutes,3,0.0,0.0,0.0,0.0
21053,Clinton County,Kentucky,2023,10 to 14 minutes,3,0.0,0.0,,0.0
48431,Sterling County,Texas,2023,10 to 14 minutes,3,0.0,0.0,,0.1
16075,Payette County,Idaho,2023,10 to 14 minutes,3,0.2,0.0,,0.1
29197,Schuyler County,Missouri,2023,10 to 14 minutes,3,0.3,0.0,,0.1
30093,Silver Bow County,Montana,2023,10 to 14 minutes,3,0.1,0.0,0.0,0.1
32005,Douglas County,Nevada,2023,10 to 14 minutes,3,0.0,0.2,0.0,0.1
32011,Eureka County,Nevada,2023,10 to 14 minutes,3,0.0,0.0,0.0,0.1
21153,Magoffin County,Kentucky,2023,10 to 14 minutes,3,0.0,0.0,0.0,0.1
16031,Cassia County,Idaho,2023,10 to 14 minutes,3,0.1,0.3,0.0,0.1
16069,Nez Perce County,Idaho,2023,10 to 14 minutes,3,0.1,0.0,0.0,0.1
31103,Keya Paha County,Nebraska,2023,10 to 14 minutes,3,0.0,0.0,,0.1
16035,Clearwater County,Idaho,2023,10 to 14 minutes,3,0.0,0.0,,0.2
05049,Fulton County,Arkansas,2023,10 to 14 minutes,3,0.1,0.0,,0.2
18033,DeKalb County,Indiana,2023,10 to 14 minutes,3,0.2,0.0,0.0,0.2
38079,Rolette County,North Dakota,2023,10 to 14 minutes,3,0.6,0.0,0.0,0.2
31167,Stanton County,Nebraska,2023,10 to 14 minutes,3,0.0,0.0,,0.2
30047,Lake County,Montana,2023,10 to 14 minutes,3,0.1,0.9,0.0,0.2
08067,La Plata County,Colorado,2023,10 to 14 minutes,3,0.0,0.0,7.9,0.2
27167,Wilkin County,Minnesota,2023,10 to 14 minutes,3,0.2,0.0,0.0,0.2
27077,Lake of the Woods County,Minnesota,2023,10 to 14 minutes,3,0.5,0.0,,0.3
16067,Minidoka County,Idaho,2023,10 to 14 minutes,3,0.0,0.0,0.0,0.3
08085,Montrose County,Colorado,2023,10 to 14 minutes,3,0.1,0.9,0.0,0.3
16017,Bonner County,Idaho,2023,10 to 14 minutes,3,0.5,0.0,14.9,0.3
18125,Pike County,Indiana,2023,10 to 14 minutes,3,0.0,0.4,0.0,0.3
40001,Adair County,Oklahoma,2023,10 to 14 minutes,3,0.3,0.0,0.0,0.3
29129,Mercer County,Missouri,2023,10 to 14 minutes,3,0.0,0.0,,0.3
47049,Fentress County,Tennessee,2023,10 to 14 minutes,3,0.3,0.0,0.0,0.3
30029,Flathead County,Montana,2023,10 to 14 minutes,3,0.3,0.0,0.0,0.3
05009,Boone County,Arkansas,2023,10 to 14 minutes,3,0.1,0.0,0.0,0.3
55125,Vilas County,Wisconsin,2023,10 to 14 minutes,3,0.1,0.0,0.0,0.3
16011,Bingham County,Idaho,2023,10 to 14 minutes,3,0.2,0.0,0.0,0.3
48505,Zapata County,Texas,2023,10 to 14 minutes,3,0.0,0.0,,0.3
41041,Lincoln County,Oregon,2023,10 to 14 minutes,3,0.5,0.0,0.0,0.3
48427,Starr County,Texas,2023,10 to 14 minutes,3,0.0,0.0,,0.3
06057,Nevada County,California,2023,10 to 14 minutes,3,0.3,0.0,78.9,0.3
18149,Starke County,Indiana,2023,10 to 14 minutes,3,0.4,3.9,0.0,0.4
41017,Deschutes County,Oregon,2023,10 to 14 minutes,3,0.6,0.0,0.0,0.4
46041,Dewey County,South Dakota,2023,10 to 14 minutes,3,0.4,0.0,0.0,0.4
55041,Forest County,Wisconsin,2023,10 to 14 minutes,3,0.7,0.0,0.0,0.4
05023,Cleburne County,Arkansas,2023,10 to 14 minutes,3,0.1,0.0,,0.4
46013,Brown County,South Dakota,2023,10 to 14 minutes,3,0.7,0.0,0.0,0.4
41043,Linn County,Oregon,2023,10 to 14 minutes,3,0.5,0.5,0.0,0.4
47067,Hancock County,Tennessee,2023,10 to 14 minutes,3,0.4,0.0,,0.4
40097,Mayes County,Oklahoma,2023,10 to 14 minutes,3,0.5,0.1,0.0,0.4
08049,Grand County,Colorado,2023,10 to 14 minutes,3,0.7,0.0,0.0,0.4
53031,Jefferson County,Washington,2023,10 to 14 minutes,3,0.2,0.0,1.7,0.4
26009,Antrim County,Michigan,2023,10 to 14 minutes,3,0.3,0.8,0.0,0.4
35031,McKinley County,New Mexico,2023,10 to 14 minutes,3,0.4,0.0,0.0,0.5
27041,Douglas County,Minnesota,2023,10 to 14 minutes,3,0.4,0.0,0.0,0.5
18079,Jennings County,Indiana,2023,10 to 14 minutes,3,0.5,0.0,,0.5
